StationCode,Reserve,ReserveCode,StationID,Temp Notes,Latitude,Longitude,StationType,Status,StationName,CDMO WQ Data URL,Realm,Province,Ecoregion,NERR_BioRegion,EPAIII_Code,EPAIII_Name,EPAIV_Code,EPAIV_Name,AquaticSystem,AquaticSubsystem,WaterColumn,SalinityRegime,Salinity Class,TempRegime,TidalRegime,ResidualCurrentType,TidalFlowType,PrimaryWaterSource,TectonicSetting,PhysiographicSetting,GeoformOrigin,Level1Geoform(>1km2),Level1GeoformType(>1km2),Level2Geoform(<1km2),Level2GeoformType(<1km2),SubstrateOrigin,SubstrateClass,SubstrateSubclass,PercentClay,PercentSilt,PercentSand,PercentGravel,PercentOrganics,BioticSetting,BioticClass,BioticSubclass,SecondaryBioticElement,TertiaryBioticElement,Dev_TotalArea,Ag_TotalArea,VegUplnd_TotalArea,WetlndPalust_TotalArea,WetlndEst_TotalArea,Bare_TotalArea,Water_TotalArea,Dev_pctTotal,Ag_pctTotal,VegUplnd_pctTotal,WetlndPalust_pctTotal,WetlndEst_pctTotal,Bare_pctTotal,Water_pctTotal,Dev_pctLand,Ag_pctLand,VegUplnd_pctLand,WetlndPalust_pctLand,WetlndEst_pctLand,Bare_pctLand,DominantLandCover,Imp_total_acres,Imp_pctLand,StationDescription
APAEBWQ,Apalachicola Bay,APA,EBWQ,,29.7858,84.8752,fixed near-bottom,primary,East Bay Bottom,https://cdmo.baruch.sc.edu/dges/?stationCode=APAEBWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,75,Southern Coastal Plain,75k,Gulf Barrier Islands and Coastal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Mesohaline Water,brackish,Warm Water,Moderately Tidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,Estuary,Passive Continental Margin,Riverine Estuary,Geologic,Upland ,Watershed,Inlet,,Biogenic Substrate,Organic Substrate,Organic Mud,,,,,,Open Water,Open Water,Open Water,,,377.8,1.1,11065.2,36789.5,752.0,43.6,371.1,0.76,0.00,22.40,74.47,1.52,0.09,0.75,0.77,0.00,22.57,75.04,1.53,0.09,palustrine wetlands,149.21,0.30,"The Apalachicola Bay East Bay Bottom station is a fixed near-bottom water quality station (APAEBWQ) in a Inlet surrounded by Open Water. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily palustrine wetlands."
APAESWQ,Apalachicola Bay,APA,ESWQ,,29.7858,84.8752,fixed surface,primary,East Bay Surface,https://cdmo.baruch.sc.edu/dges/?stationCode=APAESWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,75,Southern Coastal Plain,75k,Gulf Barrier Islands and Coastal Marshes,Estuarine,Estuarine Coastal,Upper Water Column,Mesohaline Water,brackish,Moderate Water,Moderately Tidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,Estuary,Passive Continental Margin,Riverine Estuary,Geologic,Inlet,Tidal Inlet,Inlet,,Biogenic Substrate,Organic Substrate,Organic Mud,,,,,,Open Water,Open Water,Open Water,,,377.8,1.1,11065.2,36789.5,752.0,43.6,371.1,0.76,0.00,22.40,74.47,1.52,0.09,0.75,0.77,0.00,22.57,75.04,1.53,0.09,palustrine wetlands,149.21,0.30,"The Apalachicola Bay East Bay Surface station is a fixed surface water quality station (APAESWQ) in a Inlet surrounded by Open Water. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily palustrine wetlands."
APALMWQ,Apalachicola Bay,APA,LMWQ,,29.755689,85.003525,fixed near-bottom,secondary,Little St Marks River,https://cdmo.baruch.sc.edu/dges/?stationCode=APALMWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,75,Southern Coastal Plain,75k,Gulf Barrier Islands and Coastal Marshes,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Fresh Water,fresh,Moderate Water,Moderately Tidal,Salt Wedge Domain,Mixed Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Upland ,Watershed,Channel,,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,Tidal Forested Wetland,,4031.6,2351.8,66633.8,116436.8,2131.1,371.5,5161.7,2.05,1.19,33.80,59.07,1.08,0.19,2.62,2.10,1.23,34.71,60.66,1.11,0.19,palustrine wetlands,"1,252.14",0.65,"The Apalachicola Bay Little St Marks River station is a fixed near-bottom water quality station (APALMWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Moderately Tidal, fresh Riverine Estuary in a watershed made up of primarily palustrine wetlands."
APAPCWQ,Apalachicola Bay,APA,PCWQ,,29.601,85.0277,fixed near-bottom,secondary,Pilots Cove,https://cdmo.baruch.sc.edu/dges/?stationCode=APAPCWQ,Temperate Northern Atlantic,Warm Temperate Northwest Atlantic ,Northern Gulf of Mexico,Louisianan,75,Southern Coastal Plain,75k,Gulf Barrier Islands and Coastal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Lower Polyhaline Water,brackish,Moderate Water,Moderately Tidal,Partially Mixed Domain,Mixed Semi-diurnal Tidal Flow,Estuary,Passive Continental Margin,Embayment/Bay,Geologic,Island,,Cove,Barrier Cove,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Aquatic Vegetation Bed,Submerged Aquatic Vascular Vegetation,,,5411.8,2357.4,79808.0,157631.2,4941.6,1518.5,27981.3,1.94,0.84,28.54,56.37,1.77,0.54,10.01,2.15,0.94,31.71,62.63,1.96,0.60,palustrine wetlands,"1,762.35",0.70,"The Apalachicola Bay Pilots Cove station is a fixed near-bottom water quality station (APAPCWQ) in a Cove surrounded by Aquatic Vegetation Bed. The station is located within a Moderately Tidal, brackish Embayment/Bay in a watershed made up of primarily palustrine wetlands."
CBMIPWQ,"Chesapeake Bay, MD",CBM,IPWQ,,38.796,76.7208,fixed near-bottom,primary,Iron Pot Landing,https://cdmo.baruch.sc.edu/dges/?stationCode=CBMIPWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,65,Southeastern Plains,65n,Chesapeake Rolling Coastal Plain,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Fresh Water,fresh,Moderate Water,Minimally Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Channel,Tidal Channel/Creek,Channel ,Tidal Channel/Creek,Biogenic Substrate,Organic Substrate,Organic Detritus,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,34557.5,25251.3,47027.2,7520.4,287.2,738.6,1242.8,29.63,21.65,40.32,6.45,0.25,0.63,1.07,29.95,21.88,40.76,6.52,0.25,0.64,vegetated uplands,"10,722.28",9.29,"The Chesapeake Bay, MD Iron Pot Landing station is a fixed near-bottom water quality station (CBMIPWQ) in a Channel  surrounded by Emergent Wetland. The station is located within a Minimally Tidal, fresh Riverine Estuary in a watershed made up of primarily vegetated uplands."
CBMMBWQ,"Chesapeake Bay, MD",CBM,MBWQ,,38.20855,75.804583,fixed near-bottom,secondary,Little Monie Creek,https://cdmo.baruch.sc.edu/dges/?stationCode=CBMMBWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,63,Middle Atlantic Coastal Plain,63b,Chesapeake-Pamlico Lowlands and Tidal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Mesohaline Water,brackish,Warm Water,Moderately Tidal,Partially Mixed Domain,Semi-diurnal Tidal Flow,Local Estuary Exchange,Passive Continental Margin,Continental/Island Slope,Geologic,Marsh Platform,,Marsh Platform,,Biogenic Substrate,Organic Substrate,Organic Detritus,,,,,,Benthic/Attached Biota,Upland,Forest (riparian buffer only),Emergent Tidal Marsh ,Open Field/Prairie,,,,,,,,,,,,,,,,,,,,,vegetated uplands,,,"The Chesapeake Bay, MD Little Monie Creek station is a fixed near-bottom water quality station (CBMMBWQ) in a Marsh Platform surrounded by Upland. The station is located within a Moderately Tidal, brackish Continental/Island Slope in a watershed made up of primarily vegetated uplands."
CBMMCWQ,"Chesapeake Bay, MD",CBM,MCWQ,,38.7433,76.7074,fixed near-bottom,primary,Mataponi Creek,https://cdmo.baruch.sc.edu/dges/?stationCode=CBMMCWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,65,Southeastern Plains,65n,Chesapeake Rolling Coastal Plain,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Fresh Water,fresh,Moderate Water,Minimally Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Channel,,Channel,Tidal Channel/Creek,Biogenic Substrate,Organic Substrate,Organic Detritus,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,34557.5,25251.3,47027.2,7520.4,287.2,738.6,1242.8,29.63,21.65,40.32,6.45,0.25,0.63,1.07,29.95,21.88,40.76,6.52,0.25,0.64,vegetated uplands,"10,722.28",9.29,"The Chesapeake Bay, MD Mataponi Creek station is a fixed near-bottom water quality station (CBMMCWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Minimally Tidal, fresh Riverine Estuary in a watershed made up of primarily vegetated uplands."
CBMOCWQ,"Chesapeake Bay, MD",CBM,OCWQ,,39.4507,76.2746,fixed near-bottom,primary,Otter Point Creek,https://cdmo.baruch.sc.edu/dges/?stationCode=CBMOCWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,65,Southeastern Plains,65n,Chesapeake Rolling Coastal Plain,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Fresh Water,fresh,Warm Water,Minimally Tidal,Well-mixed Domain,Mixed Semi-diurnal Tidal Flow,Local Estuary Exchange,Passive Continental Margin,Embayment/Bay,Geologic,Cove,Mainland Cove,Cove,Mainland Cove,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Non-tidal Forested Wetland,,,5105.4,3088.3,6103.8,691.2,424.5,28.9,2280.8,28.81,17.43,34.44,3.90,2.40,0.16,12.87,33.06,20.00,39.53,4.48,2.75,0.19,vegetated uplands,"1,456.81",9.43,"The Chesapeake Bay, MD Otter Point Creek station is a fixed near-bottom water quality station (CBMOCWQ) in a Cove surrounded by Emergent Wetland. The station is located within a Minimally Tidal, fresh Embayment/Bay in a watershed made up of primarily vegetated uplands."
CBMRRWQ,"Chesapeake Bay, MD",CBM,RRWQ,,38.7813,76.7137,fixed near-bottom,primary,Railroad,https://cdmo.baruch.sc.edu/dges/?stationCode=CBMRRWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,65,Southeastern Plains,65n,Chesapeake Rolling Coastal Plain,Estuarine,Estuarine Tidal Riverine Coastal,Lower Water Column,Fresh Water,fresh,Moderate Water,Minimally Tidal,Well-mixed Domain,Semi-diurnal Tidal Flow,River,Passive Continental Margin,Riverine Estuary,Geologic,Channel,,Channel,Tidal Channel/Creek,Biogenic Substrate,Organic Substrate,Organic Detritus,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,34557.5,25251.3,47027.2,7520.4,287.2,738.6,1242.8,29.63,21.65,40.32,6.45,0.25,0.63,1.07,29.95,21.88,40.76,6.52,0.25,0.64,vegetated uplands,"10,722.28",9.29,"The Chesapeake Bay, MD Railroad station is a fixed near-bottom water quality station (CBMRRWQ) in a Channel surrounded by Emergent Wetland. The station is located within a Minimally Tidal, fresh Riverine Estuary in a watershed made up of primarily vegetated uplands."
CBVCBWQ,"Chesapeake Bay, VA",CBV,CBWQ,,37.346665,76.611263,fixed near-bottom,primary,Claybank,https://cdmo.baruch.sc.edu/dges/?stationCode=CBVCBWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,65,Southeastern Plains,65m,Rolling Coastal Plain,Estuarine,Estuarine Coastal,Lower Water Column,Mesohaline Water,brackish,Moderate Water,Minimally Tidal,Partially Mixed Domain,Semi-diurnal Tidal Flow,Local Estuary Exchange,Passive Continental Margin,Embayment/Bay,Geologic,Channel,Tidal Channel/Creek,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,,,9135.1,35052.8,107908.4,23244.6,4779.8,425.0,15300.1,4.66,17.90,55.10,11.87,2.44,0.22,7.81,5.06,19.41,59.77,12.87,2.65,0.24,vegetated uplands,"2,720.43",1.51,"The Chesapeake Bay, VA Claybank station is a fixed near-bottom water quality station (CBVCBWQ) in a Channel surrounded by Open Water. The station is located within a Minimally Tidal, brackish Embayment/Bay in a watershed made up of primarily vegetated uplands."
CBVGIWQ,"Chesapeake Bay, VA",CBV,GIWQ,,37.215796,76.392675,fixed near-bottom,primary,Goodwin Islands,https://cdmo.baruch.sc.edu/dges/?stationCode=CBVGIWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,63,Middle Atlantic Coastal Plain,63b,Chesapeake-Pamlico Lowlands and Tidal Marshes,Estuarine,Estuarine Coastal,Lower Water Column,Lower Polyhaline Water,brackish,Moderate Water,Minimally Tidal,Partially Mixed Domain,Semi-diurnal Tidal Flow,Local Estuary Exchange,Passive Continental Margin,Embayment/Bay,Geologic,Channel,Tidal Channel/Creek,Channel,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Open Water,Open Water,Open Water,Submerged Aquatic Vascular Vegetation,Emergent Tidal Marsh ,12578.7,35511.0,110924.5,25350.1,6139.9,481.0,25266.1,5.82,16.42,51.29,11.72,2.84,0.22,11.68,6.59,18.59,58.08,13.27,3.21,0.25,vegetated uplands,"3,683.46",1.93,"The Chesapeake Bay, VA Goodwin Islands station is a fixed near-bottom water quality station (CBVGIWQ) in a Channel surrounded by Open Water. The station is located within a Minimally Tidal, brackish Embayment/Bay in a watershed made up of primarily vegetated uplands."
CBVSPWQ,"Chesapeake Bay, VA",CBV,SPWQ,,37.571398,76.88399,fixed near-bottom,primary,Sweethall Pier,https://cdmo.baruch.sc.edu/dges/?stationCode=CBVSPWQ,Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Virginian,Virginian,65,Southeastern Plains,65m,Rolling Coastal Plain,Estuarine,Estuarine Coastal,Lower Water Column,Oligohaline Water,brackish,Moderate Water,Moderately Tidal,Partially Mixed Domain,Semi-diurnal Tidal Flow,Local Estuary Exchange,Passive Continental Margin,Riverine Estuary,Geologic,Channel,Tidal Channel/Creek,Channel ,Tidal Channel/Creek,Geologic Substrate,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,,,,,,Benthic/Attached Biota,Emergent Wetland,Emergent Tidal Marsh,,,3943.8,17826.8,43832.9,11672.4,1760.2,168.5,3086.4,4.79,21.66,53.27,14.18,2.14,0.20,3.75,4.98,22.51,55.34,14.74,2.22,0.21,vegetated uplands,"1,176.85",1.49,"The Chesapeake Bay, VA Sweethall Pier station is a fixed near-bottom water quality station (CBVSPWQ) in a Channel  surrounded by Emergent Wetland. The station is located within a Moderately Tidal, brackish Riverine Estuary in a watershed made up of primarily vegetated uplands."
