"","station","Station Name","Reserve Code","Reserve Name","State","Latitude","Longitude","yr_start_wq","yr_end_wq","yr_start_nut","yr_end_nut","temp_median","spcond_median","sal_median","do_mgl_median","ph_median","turb_median","chla","nh4f","no23f","po4f"
"12","cbmmb","Monie Bay","CBM","Chesapeake Bay","MD",38.20855,75.804583,2020,2022,2020,2022,15.6,17.89,10.6,7.8,7,9,7.83,0.00821000259274239,0.046375,0.01395
"13","cbmmc","Mataponi Creek","CBM","Chesapeake Bay","MD",38.7433,76.7074,2003,2022,2003,2022,17.25,0.23,0.1,6.7,6.6,18,6.94,0.047,0.208833333333333,0.0155333333333333
"14","cbmoc","Otter Point Creek","CBM","Chesapeake Bay","MD",39.4507,76.2746,2003,2022,2003,2022,20.4,0.34,0.2,9.075,7.6,26,27.405,0.038,0.565,0.00396666666666667
"15","cbmrr","Railroad","CBM","Chesapeake Bay","MD",38.7813,76.7137,2003,2022,2003,2022,15.7,0.35,0.2,8.1,7.1,20,8.41,0.0545,0.5965,0.0166166666666667
"16","cbvcb","Claybank","CBV","Chesapeake Bay","VA",37.346665,76.611263,2002,2022,2002,2022,17.85,26.88,16.4,8,7.8,12,8.5525,0.030025,0.0135,0.012425
"17","cbvgi","Goodwin Islands","CBV","Chesapeake Bay","VA",37.215796,76.392675,2002,2022,2002,2022,17,31.645,19.6,9.05,8.1,4,4.6925,0.0323,0.00150714045316599,0.006
"18","cbvsh","Sweethall","CBV","Chesapeake Bay","VA",37.57138,76.88424,2002,2016,2002,2016,18.1,0.9,0.4,7.8,7.1,31,5.8725,0.0306,0.1763,0.019
"19","cbvsp","Sweethall Pier","CBV","Chesapeake Bay","VA",37.571398,76.88399,2016,2022,2016,2022,18.05,1.175,0.6,8.1,7.1,29.5,6.48,0.0413,0.18505,0.02435
"20","cbvtc","Taskinas Creek","CBV","Chesapeake Bay","VA",37.414986,76.71442,2002,2022,2002,2022,17.6,18.66,11.1,7.6,7.5,40,10.76,0.045725,0.0418,0.03045
"21","delbl","Blackbird Landing","DEL","Delaware","DE",39.38876,75.636,2002,2022,2002,2022,16.3,2.275,1.2,8.2,7,39,27.6333333333333,0.0443,0.385,0.01525
"22","delds","Division Street","DEL","Delaware","DE",39.1637,75.5191,2002,2022,2002,2022,16.4,0.18,0.1,8.4,6.8,10,27.65,0.068,0.222,0.016
"23","delll","Lebanon Landing","DEL","Delaware","DE",39.1144,75.4992,2002,2022,2002,2022,16.1,3.455,1.8,8,7,33,17.19,0.106883333333333,0.888,0.024
"24","delsl","Scotton Landing","DEL","Delaware","DE",39.08498,75.46058,2002,2022,2002,2022,15.4,16.2775,9.6,6.8,7.1,37,11.135,0.144591666666667,0.603,0.043
"25","elkap","Azevedo Pond","ELK","Elkhorn Slough","CA",36.8457,121.7538,2002,2022,2002,2022,16.8,50.495,33.15,6.15,7.9,5,4.015,0.0577,0.019825,0.0601
"26","elknm","North Marsh","ELK","Elkhorn Slough","CA",36.8346,121.7384,2002,2022,2002,2022,17.2,50.18,32.9,6.3,8.1,6,5.85333333333333,0.07065,0.05525,0.045
"27","elksm","South Marsh","ELK","Elkhorn Slough","CA",36.8179,121.7394,2002,2022,2002,2022,16.2,49.95,32.7,6.9,8,6,3.525,0.0664083333333333,0.0808333333333333,0.0443166666666667
"28","elkvm","Vierra Mouth","ELK","Elkhorn Slough","CA",36.8111,121.7792,2002,2022,2002,2022,13.9,49.935,32.7,7.9,8,4,2.44,0.059,0.1382,0.0377
"29","gndbc","Bayou Cumbest","GND","Grand Bay","MS",30.3836,88.4364,2004,2022,2005,2022,24,27.7675,17.05,6.2,7.3,8,7.38,0.0105,0.00458121813570273,0.00396586819401764
"30","gndbh","Bayou Heron","GND","Grand Bay","MS",30.4178,88.4054,2004,2022,2005,2022,23.2,29.005,18,3.7,7,7,5.8625,0.032,0.0055,0.00333345554294646
"31","gndbl","Bangs Lake","GND","Grand Bay","MS",30.3571,88.4629,2004,2022,2005,2022,23.5,33.43,20.9,7,7.7,10,6.635,0.00515667337157225,0.00150064167261641,0.00637122718904321
"32","gndcr","Crooked Bayou","GND","Grand Bay","MS",30.3599,88.419,2004,2005,2005,2005,20.35,32.555,20.375,7.6,7.8,8,NA,NA,NA,NA
"33","gndpc","Point Aux Chenes Bay","GND","Grand Bay","MS",30.3486,88.4185,2005,2022,2005,2022,23.7,35.96,22.6,7.4,8.1,12,6.785,0.005,0.00186532459688491,0.004
"34","grbgb","Great Bay","GRB","Great Bay","NH",43.0722,70.8694,2002,2022,2002,2022,15.05,39.24,24.9,8.5,7.9,4,4.67333333333333,0.02525,0.052,0.0221666666666667
"35","grblr","Lamprey River","GRB","Great Bay","NH",43.08,70.9344,2002,2022,2002,2022,17.3,20.55,12.3,8.6,7.3,5,2.15,0.03865,0.108,0.009
"36","grbor","Oyster River","GRB","Great Bay","NH",43.134,70.911,2002,2022,2004,2022,16.3,35.06,21.95,7.9,7.7,8,4.5525,0.057,0.108,0.0382
"37","grbsq","Squamscott River","GRB","Great Bay","NH",43.052403,70.911811,2002,2022,2002,2022,16.65,31.26,19.325,7.9,7.7,13,5.5395,0.1345,0.135,0.036
"38","gtmfm","Fort Matanzas","GTM","Guana Tolomato Matanzas","FL",29.737041,81.245953,2002,2022,2002,2022,24,52.175,34.3,6.3,8,7,3.475,0.032,0.009,0.014
"39","gtmpc","Pellicer Creek","GTM","Guana Tolomato Matanzas","FL",29.667071,81.257403,2002,2022,2002,2022,24.55,26.04,15.9,5.3,7.4,8.5,6.8,0.0315,0.00855,0.033
"40","gtmpi","Pine Island","GTM","Guana Tolomato Matanzas","FL",30.050857,81.367465,2002,2022,2002,2022,24.3,44.0775,28.45,5.8,7.6,10.5,4.75,0.03875,0.0103,0.02275
"41","gtmss","San Sebastian","GTM","Guana Tolomato Matanzas","FL",29.868851,81.307428,2002,2022,2002,2022,24.1,51.6,33.9,6,7.9,9,4.275,0.03475,0.015775,0.0165
"42","heekk","Kahookele","HEE","Heeia","HI",21.43582,157.80524,2020,2022,2020,2022,25.8,51.81,34,6.55,8.1,2,0.72375,0.01305,0.008025,0.0039
"43","heeph","Papahana","HEE","Heeia","HI",21.4092,157.8232,2022,2022,2022,2022,20.85,0.145,0.1,9.1,7.9,1,0.212375,0.001975,0.079325,0.0336
"44","heer9","Reef 9","HEE","Heeia","HI",21.44628,157.80183,2020,2022,2020,2022,25.8,53.02,34.9,6.5,8.1,2,0.5975,0.002,0.00475,0.003675
"45","heew2","Wai 2","HEE","Heeia","HI",21.43831,157.81093,2019,2022,2019,2022,24.3,0.26,0.1,2.4,6.9,14,0.975,0.00925,0.0013,0.01245
"46","hudbm","Bear Mountain","HUD","Hudson River","NY",41.3143389,73.985225,2020,2022,2020,2022,13.4,1.37,0.7,9.3,7.7,15,1.99,0.0285,0.46675,0.037
"47","hudfl","Ferry Landing","HUD","Hudson River","NY",42.3540111,73.7890889,2022,2022,2022,2022,17.9,0.28,0.1,9.1,7.6,5,NA,NA,NA,NA
"48","hudnp","Norrie Point","HUD","Hudson River","NY",41.83167,73.94194,2018,2022,2018,2022,12.4,0.26,0.1,10.45,7.7,9,3.11,0.00444654549848383,0.44375,0.01325
"49","hudsc","Stony Creek","HUD","Hudson River","NY",42.0463,73.9108,2002,2021,2002,2021,15.75,0.38,0.2,8.9,7.9,4,0.975,0.031,NA,0.0345
"50","hudsk","Saw Kill","HUD","Hudson River","NY",42.0171722,73.9149611,2002,2019,2002,2019,15.2,0.42,0.2,10,8.2,2,1.01,0.0139185718232118,NA,0.0055
"51","hudtn","Tivoli North Bay","HUD","Hudson River","NY",42.0365457,73.925324,2002,2022,2002,2022,16.9,0.24,0.1,8.55,7.5,11,3,0.035,0.3415,0.0096
"52","hudts","Tivoli South Bay","HUD","Hudson River","NY",42.0270378,73.9259569,2002,2022,2002,2022,16.6,0.24,0.1,8.7,7.6,9,2.755,0.03,0.3175,0.0098
"53","jacb6","Buoy 126","JAC","Jacques Cousteau","NJ",39.5079,74.3385,2002,2022,2002,2022,15.7,45.705,29.5,8.25,8,9,4.595,0.0155,0.00600478518493642,0.0235
"54","jacb9","Buoy 139","JAC","Jacques Cousteau","NJ",39.4979417,74.3811306,2002,2022,2002,2022,16.7,43.63,27.9,8,7.9,7,5.305,0.015,0.00865680746117485,0.02415
"55","jacba","Lower Bank","JAC","Jacques Cousteau","NJ",39.5937,74.5515,2002,2022,2002,2022,16.1,2.99,1.6,8.4,6.3,13,2.595,0.014,0.1205,0.006
"56","jacne","Chestnut Neck","JAC","Jacques Cousteau","NJ",39.5479,74.4608,2002,2022,2002,2022,15.5,24.72,14.85,8.4,7.3,6,4.0625,0.04,0.05,0.018
"57","job09","Station 9","JOB","Jobos Bay","PR",17.9430556,66.2385833,2002,2022,2002,2019,29.2,56.01,37.1,4.3,7.7,2,3.1375,0.061325,0.0028,0.003325
"58","job10","Station 10","JOB","Jobos Bay","PR",17.938611,66.257736,2002,2022,2002,2019,29.3,55.5775,36.8,5.2,7.8,1,1.46,0.061875,0.0045,0.00156466237905407
"59","job19","Station 19","JOB","Jobos Bay","PR",17.942914,66.228825,2002,2022,2002,2019,28.8,54.265,35.8,6.3,8.1,1,0.57,0.041525,0.00200138124934938,0.0018
"60","job20","Station 20","JOB","Jobos Bay","PR",17.930317,66.211472,2002,2022,2002,2019,28.6,54.14,35.7,6.2,8.1,2,0.3225,0.0462,0.00260594476299242,0.00206130478157187
"61","kachd","Homer Dolphin Deep","KAC","Kachemak Bay","AK",59.60201,151.40878,2003,2022,2002,2022,6.2,48.14,30.8,9.9,8,2,0.965,0.0206916666666667,0.11385,0.0307
"62","kachs","Homer Dolphin Surface","KAC","Kachemak Bay","AK",59.60201,151.40878,2004,2011,2002,2022,8.6,45.515,29.3,10.8,8.1,3,1.37,0.014,0.0932666666666667,0.024825
"63","kacsd","Seldovia Deep","KAC","Kachemak Bay","AK",59.44099,151.72096,2004,2022,2002,2022,6.75,48.625,31.3,9.8,8,1,1.13,0.01595,0.133275,0.029
"64","kacss","Seldovia Surface","KAC","Kachemak Bay","AK",59.44099,151.72096,2004,2022,2002,2022,6.55,47.855,30.7,10.3,8,1,1.45,0.017725,0.127125,0.0267
"65","lksba","Barker's Island","LKS","Lake Superior","WI",46.721772,92.06352,2012,2022,2012,2022,15.4,0.195,0.1,9,7.6,8,9.8,0.046,0.2735,0.0065
"66","lksbl","Blatnik Bridge","LKS","Lake Superior","WI",46.748649,92.10027,2012,2022,2012,2022,16.6,0.19,0.1,8.9,7.7,8,4.72,0.1255,0.21425,0.007
"67","lksol","Oliver Bridge","LKS","Lake Superior","WI",46.65685,92.20166,2012,2022,2012,2022,18.4,0.19,0.1,8.7,7.7,7,3.85,0.01925,0.071,0.00605929172406429
"68","lkspo","Pokegama Bay","LKS","Lake Superior","WI",46.67236,92.135614,2013,2022,2013,2022,17.1,0.22,0.1,6.2,7.4,55,4.6375,0.0205,0.02325,0.0175
"69","marab","Aransas Bay","MAR","Mission Aransas","TX",27.9798,97.0287,2007,2022,2007,2022,24.3,45.39,29.4,7,8.2,9,5.6,0.00285,0.00113730031821877,0.01745
"70","marce","Copano Bay East","MAR","Mission Aransas","TX",28.1323,97.0344,2007,2022,2007,2022,25.1,37.3475,23.65,7.1,8.1,11,5.95,0.0041,0.00136469811696684,0.0406
"71","marcw","Copano Bay West","MAR","Mission Aransas","TX",28.0841,97.2009,2007,2022,2007,2022,24.2,32.82,20.45,7.2,8.1,19,6.1,0.00255,0.000973927176236199,0.04125
"72","marmb","Mesquite Bay","MAR","Mission Aransas","TX",28.1384,96.8285,2008,2022,2008,2022,24.4,40.85,26.1,7.1,8.2,17,6.15,0.00275,0.00126567551308695,0.0225
"73","marsc","Ship Channel","MAR","Mission Aransas","TX",27.8383,97.0503,2007,2017,2007,2022,24.55,48.855,31.85,6.7,8.2,7,4.1,0.0034,0.00138269313130713,0.00635
"74","narnc","Nag Creek","NAR","Narragansett Bay","RI",41.62485,71.324283,2002,2022,2002,2022,15.4,44.27,28.4,7.1,7.5,2,1.675,0.02035,0.00434081893031952,0.0295
"75","narpc","Potters Cove","NAR","Narragansett Bay","RI",41.64055,71.340881,2002,2022,2002,2022,11.9,45.22,28.9,8.7,7.9,1,2.5175,0.0145,0.006,0.0255
"76","nartb","T-Wharf Bottom","NAR","Narragansett Bay","RI",41.578361,71.321125,2002,2022,2002,2022,11.4,47.405,30.5,8.5,8,1,1.8765,0.01195,0.00491253648182444,0.020425
"77","narts","T-Wharf Surface","NAR","Narragansett Bay","RI",41.578361,71.321125,2002,2022,2002,2022,12.2,46.73,30.1,8.55,8,1,1.785,0.00815,0.00398690580528179,0.01865
"78","nartw","T-Wharf","NAR","Narragansett Bay","RI",41.579217,71.321417,2002,2002,2002,2002,9.4,47.13,30.7,10.45,7.9,2,NA,NA,NA,NA
"79","niwcb","Clambank","NIW","North Inlet-Winyah Bay","SC",33.3338636,79.1930411,2002,2022,2002,2022,20.8,51.85,34.1,6.2,7.7,10,4.885,0.050075,0.007,0.0132208333333333
"80","niwdc","Debidue Creek","NIW","North Inlet-Winyah Bay","SC",33.3601486,79.1674572,2002,2022,2002,2022,21.05,51.25,33.6,6.35,7.7,9,5.4875,0.0467,0.00603333333333333,0.0125
"81","niwol","Oyster Landing","NIW","North Inlet-Winyah Bay","SC",33.3493511,79.1888819,2002,2022,2002,2022,21.4,51.785,34,5.9,7.6,11,7.2375,0.051625,0.0057875,0.0151125
"82","niwta","Thousand Acre","NIW","North Inlet-Winyah Bay","SC",33.2991461,79.2560564,2002,2022,2002,2022,20.6,11.63,6.6,6.8,7.1,30,7.915,0.09505,0.1351375,0.036075
"83","nocec","East Cribbing","NOC","North Carolina","NC",33.9399,77.9411,2002,2021,2002,2022,20.4,35.4275,22.35,7.4,7.8,10,7.13,0.0491,0.09075,0.0158
"84","noclc","Loosin Creek","NOC","North Carolina","NC",34.1722,77.8328,2002,2022,2002,2022,20.6,50.585,33.05,7.2,8,5,2.465,0.036,0.000924039831148317,0.003
"85","nocrc","Research Creek","NOC","North Carolina","NC",34.156,77.8499,2002,2022,2004,2022,20.7,48.045,31.275,7,7.9,6,3.5,0.03795,0.00165101264332105,0.0033
"86","noczb","Zeke's Basin","NOC","North Carolina","NC",33.9547,77.935,2002,2022,2002,2022,20.75,35.5,22.6,6.7,7.7,15,9.26,0.0533,0.0653,0.0262
"87","owcbr","Berlin Road","OWC","Old Woman Creek","OH",41.348889,82.512222,2002,2022,2002,2022,14.9,0.65,0.3,8.1,7.8,10,1.77,0.03,2.2995,0.0224375
"88","owcdr","Darrow Road","OWC","Old Woman Creek","OH",41.365,82.504722,2007,2022,2007,2022,15.7,0.63,0.3,6.7,7.6,17,3.665,0.036,1.8755,0.016
"89","owcol","Lower Estuary","OWC","Old Woman Creek","OH",41.381667,82.513889,2002,2022,2002,2022,16.8,0.5,0.2,7.85,7.7,30,17.355,0.0735,1.224,0.00925
"90","owcsu","State Route 2","OWC","Old Woman Creek","OH",41.3672,82.5072,2002,2007,2002,2007,15.3,0.67,0.3,7.4,7.8,17.5,5.805,0.054,3.098,0.0194
"91","owcwm","State Route 6","OWC","Old Woman Creek","OH",41.3825,82.514444,2002,2022,2002,2022,16.7,0.48,0.2,7.8,7.7,30,15.5525,0.0808333333333333,1.0605,0.00895
"92","pdbbp","Ploeg Channel","PDB","Padilla Bay","WA",48.556322,122.530894,2002,2022,2002,2022,10.9,44.93,28.9,9.5,8,2,1.70916666666667,0.01745,0.1218,0.0511
"93","pdbby","Bayview Channel","PDB","Padilla Bay","WA",48.496139,122.502114,2002,2022,2002,2022,10.25,45.395,29.275,8.7,7.9,2,1.9075,0.015725,0.204625,0.057125
"94","pdbgd","Gong Deep","PDB","Padilla Bay","WA",48.5575,122.5725,2016,2022,2007,2022,9.7,46.31,29.8,7.1,7.8,2,1.41125,0.018,0.315075,0.06425
"95","pdbgs","Gong Surface","PDB","Padilla Bay","WA",48.5575,122.5725,2003,2022,2003,2022,10.65,45.54,29.3,8.7,7.9,1,1.78416666666667,0.0115,0.246966666666667,0.05565
"96","pdbje","Joe Leary Estuary","PDB","Padilla Bay","WA",48.518914,122.474928,2009,2022,2009,2022,11.9,41.115,26.1,8.2,7.6,12.5,2.9,0.43885,0.6796,0.0196
"97","pdbjl","Joe Leary Slough","PDB","Padilla Bay","WA",48.518264,122.474189,2002,2009,2002,2009,11.05,3.7325,2,5.9,6.9,27,2.77875,0.445275,0.8056125,0.017725
"98","pdbjt","Joe Leary Tidegate","PDB","Padilla Bay","WA",48.51817008,122.4741856,2022,2022,2022,2022,6.9,2.975,1.6,5.3,6.8,21,NA,NA,NA,NA
"99","rkbfb","Fakahatchee Bay","RKB","Rookery Bay","FL",25.8922,81.477,2002,2022,2002,2022,27.1,45.98,29.9,5.2,7.8,8,4.6525,0.0265,0.0055,0.01325
"100","rkbfu","Faka Union Bay","RKB","Rookery Bay","FL",25.9005,81.5159,2002,2022,2002,2022,26.95,42.2375,27.1,5,7.7,7,2.65,0.03175,0.0165,0.0105
"101","rkblh","Lower Henderson Creek","RKB","Rookery Bay","FL",26.02749,81.73361,2002,2022,2002,2022,27.1,50.53,33.1,5.4,7.9,8,4,0.022,0.0065,0.008
"102","rkbmb","Middle Blackwater River","RKB","Rookery Bay","FL",25.9343,81.5946,2002,2022,2002,2022,26.9,50.5925,33.2,4.4,7.7,10,3.445,0.038,0.015,0.025
"103","rkbpb","Pumpkin Bay","RKB","Rookery Bay","FL",25.9141,81.5404,2016,2022,2012,2022,27.05,46.495,30.15,4.9,7.8,10,3.825,0.0265,0.006,0.02
"104","sapca","Cabretta Creek","SAP","Sapelo Island","GA",31.4437,81.2399,2004,2022,2004,2022,22.5,48.6475,31.7,6.5,7.8,16,8.66,0.04695,0.00396235236744614,0.05955
"105","sapdc","Dean Creek","SAP","Sapelo Island","GA",31.3896,81.2789,2004,2022,2004,2022,22.6,42.4,27.1,4.9,7.4,16,4.0225,0.238675,0.0175,0.23055
"106","sapfd","Flume Dock","SAP","Sapelo Island","GA",31.4828,81.2675,2002,2004,2002,2004,24.9,37.01,23.4,5.2,7.2,8.5,7.25,0.02675,0.006,0.0396666666666667
"107","saphd","Hunt Dock","SAP","Sapelo Island","GA",31.4786,81.2731,2002,2022,2002,2022,22.8,40.02,25.45,5.3,7.4,7,4.93333333333333,0.0356,0.00479347777068261,0.0324
"108","sapld","Lower Duplin","SAP","Sapelo Island","GA",31.417942,81.296047,2002,2022,2002,2022,21.95,42.0575,26.975,6.1,7.7,25,9.4875,0.037,0.0145,0.0293333333333333
"109","sapml","Marsh Landing","SAP","Sapelo Island","GA",31.4177,81.2961,2002,2004,2002,2004,22.6,40.905,26.175,6.8,7.7,18,8.46666666666667,0.03135,0.0336666666666667,0.0351
"110","sfbcc","China Camp","SFB","San Francisco Bay","CA",38.0012,122.4604,2005,2022,2006,2022,16.35,37.03,23.5,7.8,7.8,43.5,6.2,0.04745,0.229825,0.093075
"111","sfbfm","First Mallard","SFB","San Francisco Bay","CA",38.1949,122.0328,2008,2022,2008,2022,17.35,7.2,4,7,7.6,40,4.1,0.0734,1.095975,0.216125
"112","sfbgc","Gallinas Creek","SFB","San Francisco Bay","CA",38.0159,122.5085,2006,2022,2006,2022,16.9,34.65,21.8,7.1,7.7,39,5.2,0.07235,0.1414,0.1209
"113","sfbsm","Second Mallard","SFB","San Francisco Bay","CA",38.1841,122.0136,2008,2022,2008,2022,17.2,7.2,4,7.5,7.5,35,3.725,0.05315,0.483575,0.0726375
"114","sosch","Charleston Bridge","SOS","South Slough","OR",43.3377,124.320533,2002,2022,2002,2022,12,47.115,30.55,8.8,8,3,2.145,0.0313333333333333,0.122358333333333,0.0318833333333333
"115","sosva","Valino Island","SOS","South Slough","OR",43.317217,124.321633,2002,2022,2002,2022,12.6,44.25,28.6,8.6,7.9,4,2.625,0.03398,0.120733333333333,0.0261666666666667
"116","soswi","Winchester Arm","SOS","South Slough","OR",43.282417,124.320317,2002,2022,2002,2022,12.45,24.2425,14.775,8.55,7.3,7,1.07333333333333,0.0252666666666667,0.209633333333333,0.00824166666666667
"117","tjrbr","Boca Rio","TJR","Tijuana River","CA",32.5593611,117.1289722,2004,2022,2004,2022,17.3,50.74,33.3,6.8,8,3,1.07333333333333,0.10375,0.0208,0.0988
"118","tjrmm","Model Marsh","TJR","Tijuana River","CA",32.5478,117.123,2002,2008,2002,2008,18.05,53.8,35.6,5.4,7.7,10,1.325,0.167,0.02425,0.067
"119","tjros","Oneonta Slough","TJR","Tijuana River","CA",32.5683333,117.1312778,2002,2022,2002,2022,18.8,50.82,33.4,5.2,7.7,5,1.735,0.1139,0.025,0.1615
"120","tjrpe","Pond Eleven","TJR","Tijuana River","CA",32.60098,117.11624,2008,2010,2008,2011,21.3,69.9225,47.9,6.95,8.3,4.5,18.74,0.0108333333333333,0.01,0.022
"121","tjrpr","Pond Eleven Restored","TJR","Tijuana River","CA",32.5960833,117.1181944,2012,2022,2012,2022,21.1,53.68,35.5,6.25,8,9,2.335,0.0263,0.009725,0.03
"122","tjrrc","River Channel","TJR","Tijuana River","CA",32.5578,117.1061,2002,2004,2002,2004,18.3,28.015,17.3,2.4,7.3,9,1,1.295,0.039,0.313
"123","tjrsb","South Bay","TJR","Tijuana River","CA",32.601,117.1158333,2008,2022,2008,2022,21,53.54,35.4,6.5,8,7,2.125,0.02215,0.010475,0.0403333333333333
"124","tjrtl","Tidal Linkage","TJR","Tijuana River","CA",32.5744,117.1272,2002,2007,2002,2007,20.15,48.0425,31.2,4.15,7.6,8,2.45,0.1225,0.09375,0.1985
"125","welht","Head of Tide","WEL","Wells","ME",43.298347,70.587094,2002,2022,2002,2022,12.4,0.2,0.1,10.5,6.8,2,0.2,0.00428701783744667,0.11125,0.000487031592432167
"126","welin","Inlet","WEL","Wells","ME",43.320089,70.563442,2002,2022,2002,2022,9.3,48.08,31.1,9.2,7.9,3,0.9,0.027,0.034,0.0125
"127","wellm","Little River Mouth","WEL","Wells","ME",43.340153,70.540603,2002,2022,2002,2022,12.7,33.24,20.7,8.95,7.8,3,0.7,0.018,0.066,0.003
"128","welml","Mile Road","WEL","Wells","ME",43.305,70.5764,2002,2003,2002,2003,10.65,44.845,28.75,8.9,7.8,3,3.2315,0.0514,0.03405,0.004775
"129","welsm","Skinner Mill","WEL","Wells","ME",43.344711,70.549217,2004,2022,2004,2022,13.5,5.75,3.1,9.2,7.2,4,0.4,0.00730974813508213,0.10555,0.000839695178426077
"130","wkbfr","Fish River","WKB","Weeks Bay","AL",30.4162,87.8228,2002,2022,2002,2022,23.95,11.97,6.8,7.05,7.2,12,18.2,0.049,0.49,8.67669042708975e-05
"131","wkbmb","Middle Bay","WKB","Weeks Bay","AL",30.3961,87.8335,2003,2022,2002,2022,24.3,15.99,9.4,7.8,7.9,15,30.4816666666667,0.0221666666666667,0.142666666666667,0.000149011676996352
"132","wkbmr","Magnolia River","WKB","Weeks Bay","AL",30.39,87.8177,2003,2022,2002,2022,24.9,15.495,9,7.3,7.7,17,28.5133333333333,0.0343333333333333,0.3405,4.86413093148016e-05
"133","wkbwb","Weeks Bay","WKB","Weeks Bay","AL",30.3808,87.832,2002,2022,2002,2022,24.1,18.13,10.8,7.75,7.9,15,29.9033333333333,0.027,0.0703333333333333,0.000195432180437674
"134","wqbcr","Childs River","WQB","Waquoit Bay","MA",41.5798,70.5309,2002,2021,2002,2022,16.6,43.355,27.7,7.8,7.8,2,14.025,0.022,0.08125,0.009075
"135","wqbmh","Menauhant","WQB","Waquoit Bay","MA",41.5526,70.5485,2002,2022,2002,2022,12.9,47.86,30.9,8.8,8,2,2.4,0.0139,0.007525,0.015
"136","wqbmp","Metoxit Point","WQB","Waquoit Bay","MA",41.5689,70.5216,2002,2022,2002,2022,16.6,46.315,29.9,8.4,8,1,2.87,0.01395,0.0047,0.00865
"137","wqbsl","Sage Lot","WQB","Waquoit Bay","MA",41.5542,70.5084,2002,2022,2002,2022,17.8,45.32,29.2,7.8,7.9,1,2.6,0.0155,0.003,0.006
