"reserve","station","met_stn","latitude","domgl_trend","temp_trend","spcond_trend","turb_trend","chla_trend","po4f_trend","nh4f_trend","no23f_trend","temp_median","spcond_median","domgl_median","turb_median","chla_median","nh4f_median","no23f_median","po4f_median","dailyPAR_trend","precp_trend","precp_median","dailyPAR_median"
"cbm","cbmrr","cbmjbmet",38.7813,-0.0314374902872999,0.0533429083363585,0.00274230513781979,0.088692515358272,-0.00828494703918843,-0.0140762496902596,-0.00756992732367274,-0.0155884362734319,15.7,0.35,8.1,20,8.41,0.0545,0.5965,0.0166166666666667,514.424788395616,0.100059351917179,79.15,27231.4
"cbv","cbvcb","cbvtcmet",37.346665,-0.0282928570173446,0.0528609857586261,-0.0248274437512146,-0.0247710874563652,0.0136254800528796,0.0104752983710968,-0.010862737453036,0.009698863422079,17.85,26.88,8,12,8.5525,0.030025,0.0135,0.012425,278.453703578513,0.0363835592528928,84.6,30548.85
"cbv","cbvgi","cbvtcmet",37.215796,-0.0124815086910204,0.0449549453886781,-0.0274885215335277,-0.0180033271439152,0.0043355430931526,0.0225629898762418,-0.016654747306973,-0.0065645857151411,17,31.645,9.05,4,4.6925,0.0323,0.00150714045316599,0.006,278.453703578513,0.0363835592528928,84.6,30548.85
"cbv","cbvtc","cbvtcmet",37.414986,-0.0277711971849514,0.0465706517697192,-0.0452208750952292,-0.617704445059447,0.00252991550756438,0.00913115103400801,0.0190275468197712,0.0357121534224302,17.6,18.66,7.6,40,10.76,0.045725,0.0418,0.03045,278.453703578513,0.0363835592528928,84.6,30548.85
"del","delbl","delsjmet",39.38876,0.0382620413290775,0.0315248106169028,-0.000581059625601616,-0.417348794651821,0.0384549493569368,0.00838533974675747,0.00205342347151108,-0.00731663865672075,16.3,2.275,8.2,39,27.6333333333333,0.0443,0.385,0.01525,171.108948392191,0.0240318172943431,91.5,30373.75
"del","delds","delsjmet",39.1637,-0.0270087833781976,0.0412161632854438,-0.000729373748733475,-0.196163479134936,0.0173082371524928,0.0285266386020456,0.00520837650545819,0.00545027172794671,16.4,0.18,8.4,10,27.65,0.068,0.222,0.016,171.108948392191,0.0240318172943431,91.5,30373.75
"del","delll","delsjmet",39.1144,-0.0438224821328903,0.0441440762295407,-0.0255277247741323,-0.668184121717794,0.0149685514164598,0.00650139021930365,0.0054070873542449,0.00474657921646856,16.1,3.455,8,33,17.19,0.106883333333333,0.888,0.024,171.108948392191,0.0240318172943431,91.5,30373.75
"del","delsl","delsjmet",39.08498,-0.0382500115273206,0.0493930160000892,-0.0156064274164233,-1.15355790028007,0.0186088180440853,0.000789472644034707,-0.00106854989701277,0.000453998714653646,15.4,16.2775,6.8,37,11.135,0.144591666666667,0.603,0.043,171.108948392191,0.0240318172943431,91.5,30373.75
"elk","elkap","elkcwmet",36.8457,-0.072649584120458,0.0458665741904566,0.0438725498653916,-0.117609529656653,0.0215093954180401,-0.0111418299040798,0.00287014553182065,0.00511356141105029,16.8,50.495,6.15,5,4.015,0.0577,0.019825,0.0601,446.890294217482,-0.0420060415510359,9.95,32026.25
"elk","elknm","elkcwmet",36.8346,0.0229596229032894,0.0326050325209162,0.0602097021136592,0.00537886954071794,0.0160327859597407,-0.00224439207786319,0.0145977459391235,0.0125347103577475,17.2,50.18,6.3,6,5.85333333333333,0.07065,0.05525,0.045,446.890294217482,-0.0420060415510359,9.95,32026.25
"elk","elksm","elkcwmet",36.8179,0.0141947985848144,0.0411903432811623,0.0668701605885083,-0.116462128014111,0.0134631010840153,-0.0106532418870492,0.00772589451450821,0.00414499480141007,16.2,49.95,6.9,6,3.525,0.0664083333333333,0.0808333333333333,0.0443166666666667,446.890294217482,-0.0420060415510359,9.95,32026.25
"elk","elkvm","elkcwmet",36.8111,0.00675956045533543,0.0216350775894886,0.00884866269662944,-0.117626454389871,0.0191416372620421,-0.0125760554586833,0.00990453995402088,0.0121538766100336,13.9,49.935,7.9,4,2.44,0.059,0.1382,0.0377,446.890294217482,-0.0420060415510359,9.95,32026.25
"gnd","gndbc","gndcrmet",30.3836,-0.025199870146582,0.0221023757579061,-0.405491459194179,-0.0668778222094509,0.0398829576144013,-0.00760121082081242,-0.0420408412213691,-0.0397037730571172,24,27.7675,6.2,8,7.38,0.0105,0.00458121813570273,0.00396586819401764,136.317728178011,0.0616024034787727,112.5,36946.45
"gnd","gndbh","gndcrmet",30.4178,-0.0158195694764258,-0.000580307273293626,-0.428971591265067,-0.0563398759804993,0.0360599213723123,-0.0127171957227576,-0.0355282203955478,-0.0301847724525627,23.2,29.005,3.7,7,5.8625,0.032,0.0055,0.00333345554294646,136.317728178011,0.0616024034787727,112.5,36946.45
"gnd","gndbl","gndcrmet",30.3571,-0.0031266777211862,0.0228714773358089,-0.413775635919142,-0.0634900542824221,0.0496182101208279,-0.025023916328264,-0.0563725710771837,-0.0712846685812123,23.5,33.43,7,10,6.635,0.00515667337157225,0.00150064167261641,0.00637122718904321,136.317728178011,0.0616024034787727,112.5,36946.45
"gnd","gndpc","gndcrmet",30.3486,0.00726763289037941,0.0581129748188603,-0.450788514123342,-0.0201647195919288,0.039324486455689,0.0139079444275737,-0.0673458870394833,-0.0563822010915335,23.7,35.96,7.4,12,6.785,0.005,0.00186532459688491,0.004,136.317728178011,0.0616024034787727,112.5,36946.45
"grb","grbgb","grbglmet",43.0722,-0.0586295180400634,0.0385327602628874,0.264126904994556,-0.126005391558536,0.00855436025700077,-0.00209438443505331,-0.0135900976051763,0.00822773182897593,15.05,39.24,8.5,4,4.67333333333333,0.02525,0.052,0.0221666666666667,346.221903350446,-0.0631479775771535,86.5,27792.4
"grb","grblr","grbglmet",43.08,-0.0657265872631825,0.0708703630339908,0.434567210316118,-0.0637471598922606,0.00414394917616869,0.0238248291914883,0.0072388847214609,0.00316604152472235,17.3,20.55,8.6,5,2.15,0.03865,0.108,0.009,346.221903350446,-0.0631479775771535,86.5,27792.4
"grb","grbor","grbglmet",43.134,-0.0176259418340046,0.0433197193812459,0.364384072542034,-0.0972952689544418,0.0274901116169229,0.0125178625783086,0.00532573740393002,-0.0162069276560953,16.3,35.06,7.9,8,4.5525,0.057,0.108,0.0382,346.221903350446,-0.0631479775771535,86.5,27792.4
"grb","grbsq","grbglmet",43.052403,-0.0521945920014623,0.0644526942052085,0.3562637986402,-0.288405347104311,0.0035720518205524,0.00493585999239098,0.00276628463825918,0.0049176734404344,16.65,31.26,7.9,13,5.5395,0.1345,0.135,0.036,346.221903350446,-0.0631479775771535,86.5,27792.4
"gtm","gtmfm","gtmpcmet",29.737041,0.00561876557587765,0.0578486938534795,-0.077639524923811,0.0509092199432094,0.00994854586019117,0.00125692634411096,-0.0275681677645847,-0.0152868937611563,24,52.175,6.3,7,3.475,0.032,0.009,0.014,208.395052261136,0.0364758826004191,84.2,35600.2
"gtm","gtmpc","gtmpcmet",29.667071,0.000976517578639431,0.0526823558483937,-0.136261057876869,0.0157469268050327,0.00981427159909232,0.00847813343561904,-0.0224680287586256,-0.00400765712628185,24.55,26.04,5.3,8.5,6.8,0.0315,0.00855,0.033,208.395052261136,0.0364758826004191,84.2,35600.2
"gtm","gtmpi","gtmpcmet",30.050857,-0.00943902765907863,0.0546543930964568,-0.450731170586735,0.0887914190221426,0.00315860794953436,0.0130996582986839,-0.0222990723808828,-0.00616519837904827,24.3,44.0775,5.8,10.5,4.75,0.03875,0.0103,0.02275,208.395052261136,0.0364758826004191,84.2,35600.2
"gtm","gtmss","gtmpcmet",29.868851,0.00417702148113548,0.0572850070957919,-0.0779798283759587,0.16523591020102,0.00857817433564398,0.00512719380435686,-0.0245552439139934,9.5696075381998e-05,24.1,51.6,6,9,4.275,0.03475,0.015775,0.0165,208.395052261136,0.0364758826004191,84.2,35600.2
"hud","hudtn","hudfsmet",42.0365457,-0.0362893648290336,0.0375046037153238,0.00139997452708336,-0.142642177955387,-0.00920791994924586,0.00872965176148384,0.00187274328971655,0.00134020735636109,16.9,0.24,8.55,11,3,0.035,0.314,0.0096,-145.283076009902,-0.101896701462229,78.1,21133
"hud","hudts","hudfsmet",42.0270378,-0.0242750584317992,0.0309779663982646,0.00152858751103206,-0.225732407197356,-0.0155806786678519,0.0089859412556504,-0.00248375374123507,0.00101723953567067,16.6,0.24,8.7,9,2.755,0.03,0.32,0.0098,-145.283076009902,-0.101896701462229,78.1,21133
"jac","jacb6","jacncmet",39.5079,-0.0333440999618176,0.0458767610433203,0.0444471835855847,-0.0320130648559376,0.016210221003153,-0.0112770011708529,-0.0100959833920455,-0.0392646208444784,15.7,45.705,8.25,9,4.595,0.0155,0.00600478518493642,0.0235,-231.335926991993,0.0528512796199389,91.7,28897.3
"jac","jacb9","jacncmet",39.4979417,-0.0126031623167801,0.0360797048481024,0.0849467774110563,-0.0957527339800809,0.0140411019802824,-0.0163436032294982,-0.0039196667273179,-0.0340509492096446,16.7,43.63,8,7,5.305,0.015,0.00865680746117485,0.02415,-231.335926991993,0.0528512796199389,91.7,28897.3
"jac","jacba","jacncmet",39.5937,-0.0377186961548132,0.0235958919655578,0.0297129705939688,-0.138061428699679,0.0159391323036765,-0.0117237908603544,-0.0268287044982149,-0.00450599324928364,16.1,2.99,8.4,13,2.595,0.014,0.1205,0.006,-231.335926991993,0.0528512796199389,91.7,28897.3
"jac","jacne","jacncmet",39.5479,-0.0541472959430281,0.0386803977593411,0.0256222670511406,0.0288619103303444,0.0159054642838538,-0.00744718520844254,-0.0180392531339597,-0.00621516150379309,15.5,24.72,8.4,6,4.0625,0.04,0.05,0.018,-231.335926991993,0.0528512796199389,91.7,28897.3
"job","job09","jobjbmet",17.9430556,0.0602874892726571,0.0179097201127928,0.00795917943135439,-0.398345110912917,0.00975958718031547,-0.0645342145013489,-0.047579732087341,0.0854519245848763,29.2,56.01,4.3,2,3.1375,0.061325,0.0028,0.003325,437.130562217282,-0.0411825573035749,53.2,39128.95
"job","job10","jobjbmet",17.938611,0.00182479655430033,0.000682449790204334,0.0699469988860063,-0.250009992256282,0.0179889078596547,-0.0792206109600438,-0.0452699184210937,0.0561717952168292,29.3,55.5775,5.2,1,1.46,0.061875,0.0045,0.00156466237905407,437.130562217282,-0.0411825573035749,53.2,39128.95
"job","job19","jobjbmet",17.942914,-0.0117918539426999,0.00022815843121155,0.0197262599689568,-0.0660234510280665,0.0138087018581271,-0.0904013448563478,-0.0599327905168316,0.017930093275812,28.8,54.265,6.3,1,0.57,0.041525,0.00200138124934938,0.0018,437.130562217282,-0.0411825573035749,53.2,39128.95
"job","job20","jobjbmet",17.930317,-0.0123148877465402,-0.00618374280966423,-0.00118997995539075,0.0165121664681043,0.0237675129195234,-0.0789342217485108,-0.0595332118337575,0.0454432258385969,28.6,54.14,6.2,2,0.3225,0.0462,0.00260594476299242,0.00206130478157187,437.130562217282,-0.0411825573035749,53.2,39128.95
"kac","kacss","kachomet",59.44099,-0.0813530904049514,0.0521341863956215,-0.0127429872499201,-0.0398364749284447,0.0119986467597427,-0.00148288980900735,0.0169974015637718,0.000970714655185293,6.55,47.855,10.3,1,1.45,0.017725,0.127125,0.0267,47.5864003890155,0.154492125410289,33.25,17821.9
"lks","lksba","lkspomet",46.721772,-0.0148742536243295,0.0707573384491262,-0.00236740356894203,-0.0775569936241607,-0.00520713218184036,0.00616601462274422,-0.0129515306203175,0.00116338062603433,15.4,0.195,9,8,9.8,0.046,0.2735,0.0065,196.048199647758,-0.189408246745694,67.1,23081.4
"lks","lksbl","lkspomet",46.748649,-0.00366243131915037,0.10574382824907,-0.000674177397969712,0.0262517223197266,0.00775931062716424,0.0336797686694322,-0.017804176284233,0.00351251024991409,16.6,0.19,8.9,8,4.72,0.1255,0.21425,0.007,196.048199647758,-0.189408246745694,67.1,23081.4
"lks","lksol","lkspomet",46.65685,-0.0363211167182227,0.0443053834944168,0.00328212338585698,-0.124135632994625,-0.00298720163813349,0.00491433446670386,-0.0240472460436139,0.00011547961221694,18.4,0.19,8.7,7,3.85,0.01925,0.071,0.00605929172406429,196.048199647758,-0.189408246745694,67.1,23081.4
"mar","marab","marcemet",27.9798,-0.0175714907061831,0.0330818141008572,-0.0252547319521604,0.055417540019165,0.0165465121596499,0.0578070481929209,0.0638791429835159,0.0450942199210185,24.3,45.39,7,9,5.6,0.00285,0.00113730031821877,0.01745,125.501235589853,0.0745920341241532,43.6,38410.25
"mar","marce","marcemet",28.1323,-0.015326281448105,0.0396025588469378,0.195878978020338,-0.280456124519955,0.0173184297227609,0.0350535311253123,0.0413713975274191,0.0644550306132001,25.1,37.3475,7.1,11,5.95,0.0041,0.00136469811696684,0.0406,125.501235589853,0.0745920341241532,43.6,38410.25
"mar","marcw","marcemet",28.0841,-0.016900101651961,0.0488111717522351,0.523114353911871,-0.933004222762488,0.0168578008814382,0.0322461898753899,0.0564082397878939,0.0683814024435739,24.2,32.82,7.2,19,6.1,0.00255,0.000973927176236199,0.04125,125.501235589853,0.0745920341241532,43.6,38410.25
"mar","marmb","marcemet",28.1384,-0.00223753941339119,0.0367100672061011,-0.25907068424853,-0.826994566373281,0.0142227723824941,0.0297914391448858,0.033037084226462,0.0680434585735131,24.4,40.85,7.1,17,6.15,0.00275,0.00126567551308695,0.0225,125.501235589853,0.0745920341241532,43.6,38410.25
"mar","marsc","marcemet",27.8383,-0.0283526112625617,0.0620132157702914,-0.0313769727386788,0.193543968707386,0.015098884734858,0.07592376071624,0.0567324928866902,0.0596731356426238,24.55,48.855,6.7,7,4.1,0.0034,0.00138269313130713,0.00635,125.501235589853,0.0745920341241532,43.6,38410.25
"nar","narnc","narpcmet",41.62485,-0.00249284845435218,0.0384801747033031,0.196999329022483,-0.0148929103857685,0.0265516894862758,-0.00287468923820704,0.00781706516954619,-0.044874409295043,15.4,44.27,7.1,2,1.675,0.02035,0.00442088659191149,0.0295,361.3494554719,-0.0398162554275093,80.2,28042
"nar","narpc","narpcmet",41.64055,-0.00259233564296602,0.0557273848460157,0.0231577324966519,0.00266968520208034,0.0142642486517505,-0.0124974475415795,-0.0197052856082642,-0.0251864563604949,11.9,45.22,8.7,1,2.5175,0.0145,0.006,0.0255,361.3494554719,-0.0398162554275093,80.2,28042
"nar","nartb","narpcmet",41.578361,-0.0317084245679131,0.0802777151390712,0.0161550672006444,-0.023963292342007,0.0138366140951618,-0.0146621313734259,-0.00903640302524958,-0.040131013544613,11.4,47.405,8.5,1,1.8765,0.01195,0.00492056731279918,0.020425,361.3494554719,-0.0398162554275093,80.2,28042
"nar","narts","narpcmet",41.578361,-0.0537863472085269,0.0630962248553224,0.0292578079362199,-0.0350910041667214,0.0146942778178084,-0.0149229460661943,-0.0025773430571001,-0.0361350707925875,12.2,46.73,8.55,1,1.785,0.00815,0.00399637319954906,0.01865,361.3494554719,-0.0398162554275093,80.2,28042
"niw","niwcb","niwolmet",33.3338636,-0.00755774589631002,0.0333353744078014,-0.0832329075778286,0.257323738872441,0.0174816137841342,0.00202218507127726,0.0201578113574987,0.00178125216000221,20.8,51.85,6.2,10,4.885,0.050075,0.007,0.0132208333333333,359.930665966983,0.0243903547791374,88.25,33419.3
"niw","niwdc","niwolmet",33.3601486,-0.00759993677232608,0.0458872228447745,-0.0852682215268016,0.146463704940754,0.012747312334474,0.00305482382321516,0.0184643454409493,0.00759263688859006,21.05,51.25,6.35,9,5.4875,0.0467,0.00603333333333333,0.0125,359.930665966983,0.0243903547791374,88.25,33419.3
"niw","niwol","niwolmet",33.3493511,-0.0147198159470358,0.0452660235216924,-0.0786013735719956,0.140821078135245,0.0149802939474384,0.00654329028242915,0.0153724489156437,0.00386218280478476,21.4,51.785,5.9,11,7.2375,0.051625,0.0057875,0.0151125,359.930665966983,0.0243903547791374,88.25,33419.3
"niw","niwta","niwolmet",33.2991461,-0.0210584142946727,0.044928519525491,-0.26741388500983,-0.756714080969906,0.00898571920255873,0.00166802168909267,0.00385574132358214,0.0211132931725308,20.6,11.63,6.8,30,7.915,0.09505,0.1351375,0.036075,359.930665966983,0.0243903547791374,88.25,33419.3
"noc","nocec","nocrcmet",33.9399,-0.0269210158690963,0.0454536785234654,-0.19379215314605,0.180085324040313,0.034738713038343,-0.00268751918314151,-0.0300868145582873,0.0192331880151038,20.4,35.4275,7.4,10,7.13,0.0491,0.09075,0.0158,52.7791127846786,0.00620206141652765,80.45,35081.05
"noc","noclc","nocrcmet",34.1722,-0.0263934386045822,0.0717472590486314,0.124599647506523,-0.0764360262606932,0.0268831249134743,-0.0222872375471574,-0.0502907752061998,0.0034890779311781,20.6,50.585,7.2,5,2.465,0.036,0.000915079499864233,0.003,52.7791127846786,0.00620206141652765,80.45,35081.05
"noc","nocrc","nocrcmet",34.156,-0.0230595825135754,0.0589824533927449,0.237674136569237,-0.192176894852113,0.0191569298309065,-0.0179708952449157,-0.0525549466542947,0.0509968823408777,20.7,48.045,7,6,3.5,0.03795,0.00164702248357774,0.0033,52.7791127846786,0.00620206141652765,80.45,35081.05
"noc","noczb","nocrcmet",33.9547,-0.00720178113223308,0.0373791355295318,-0.127607873497833,0.629209219728312,0.0379942506620938,-0.00386777410764975,-0.029557051118123,0.0132409967266102,20.75,35.5,6.7,15,9.26,0.0533,0.0653,0.0262,52.7791127846786,0.00620206141652765,80.45,35081.05
"owc","owcbr","owcowmet",41.348889,-0.00998910513462839,0.0299507177446471,-0.00524751026881249,-1.47223493986855,-0.000160812256946005,0.00632490030793422,-0.00355876183313595,-0.0308794438849505,14.9,0.65,8.1,10,1.77,0.03,2.29925,0.0224375,-3.95803855609442,0.0402228001219821,72.5,24533.1
"owc","owcdr","owcowmet",41.365,-0.143303556228099,0.006226571030125,-0.00705774831675038,0.141157768398679,0.0260362259043635,0.00889550247482163,0.00552526226187199,-0.0129530399786793,15.7,0.63,6.7,17,3.665,0.036,1.86175,0.016,-3.95803855609442,0.0402228001219821,72.5,24533.1
"owc","owcol","owcowmet",41.381667,-0.0681829259766867,0.00837738763970081,-0.00657676748405374,-1.73457525443963,0.0269279361973449,-0.0138921028868041,-0.022796057092875,-0.0384000456517655,16.8,0.5,7.85,30,17.355,0.0735,1.20975,0.00925,-3.95803855609442,0.0402228001219821,72.5,24533.1
"owc","owcwm","owcowmet",41.3825,-0.0541103918922005,0.00757149817397141,-0.00610095180137457,-2.50791458830587,0.0230269133886162,-0.014603497805437,-0.0289662729874077,-0.0366116775193874,16.7,0.48,7.8,30,15.5525,0.0808333333333333,1.042,0.00895,-3.95803855609442,0.0402228001219821,72.5,24533.1
"pdb","pdbbp","pdbpfmet",48.556322,0.00605089479510945,0.014770581834472,-0.0202076652340749,-0.0483001583990185,0.00806197881163718,-0.00381804156791833,-0.00685464440999351,-0.00992891698069172,10.9,44.93,9.5,2,1.70916666666667,0.01745,0.1218,0.0511,200.272631559662,-0.0303032437267173,50,21178.875
"pdb","pdbby","pdbpfmet",48.496139,-0.00681720793966027,0.0172520185139964,-0.0227168968257656,-0.0237833626693453,0.00640376697897519,-0.000877086233466936,-0.00845225596346758,-0.0130364359653655,10.25,45.395,8.7,2,1.9075,0.015725,0.204625,0.057125,200.272631559662,-0.0303032437267173,50,21178.875
"pdb","pdbgs","pdbpfmet",48.5575,-0.0131118686352382,0.0114765949089222,-0.0391906720122203,0.0140577947539926,0.00428657592507724,-0.00575791853188983,-0.00805930081288589,-0.00220871833924874,10.65,45.54,8.7,1,1.78416666666667,0.0115,0.246966666666667,0.05565,200.272631559662,-0.0303032437267173,50,21178.875
"rkb","rkbfb","rkbuhmet",25.8922,-0.000719572716625454,0.0432122322082121,0.00924875003170943,-0.252781732754284,0.00868565578226035,0.0123282602512956,0.016343549252129,-0.0267258706302443,27.1,45.98,5.2,8,4.6525,0.0265,0.0055,0.01325,-129.700423527604,0.0423810823318414,75,35313.9
"rkb","rkbfu","rkbuhmet",25.9005,-0.027279507491931,0.0657428335270083,-0.0577824277453532,-0.0293842017043444,0.00410997573488142,0.0178869316124575,0.0199428254274182,-0.00374855475567691,26.95,42.2375,5,7,2.65,0.03175,0.0165,0.0105,-129.700423527604,0.0423810823318414,75,35313.9
"rkb","rkblh","rkbuhmet",26.02749,0.00346578748254039,0.0535195448599287,-0.176990535590755,-0.209816413611279,0.00648761164806341,0.00977517350004362,0.00625612662907313,-0.0211964405487398,27.1,50.53,5.4,8,4,0.022,0.0065,0.008,-129.700423527604,0.0423810823318414,75,35313.9
"rkb","rkbmb","rkbuhmet",25.9343,-0.014582671168652,0.0456613212179421,-0.049006489840114,-0.0940264745572149,0.00291261285576801,0.00646390267896006,0.0101187701243389,-0.0251110343994052,26.9,50.5925,4.4,10,3.445,0.038,0.015,0.025,-129.700423527604,0.0423810823318414,75,35313.9
"sap","sapca","sapmlmet",31.4437,0.0295399505518787,0.0547386651413473,-0.154252282258322,0.528341460275561,-0.00432542707196701,-0.0206263127209588,-0.0192875590317422,0.0110146575754873,22.5,48.6475,6.5,16,8.66,0.04695,0.00396235236744614,0.05955,384.7182056301,-0.01210082462838,63.6,33420.4
"sap","sapdc","sapmlmet",31.3896,-0.0134540821611931,0.0796332693911394,-0.191995277970626,0.481712878535448,0.00848724687583326,-0.00728179911824263,-0.0209788721602482,8.81382028312058e-05,22.6,42.4,4.9,16,4.0225,0.238675,0.0175,0.23055,384.7182056301,-0.01210082462838,63.6,33420.4
"sap","saphd","sapmlmet",31.4786,-0.0340283730345662,0.0542575831042788,-0.0893610782005672,-0.249971703652643,0.00525384524862983,-0.0197580620630941,-0.022408712600291,0.00122713235385059,22.8,40.02,5.3,7,4.93333333333333,0.0356,0.00479347777068261,0.0324,384.7182056301,-0.01210082462838,63.6,33420.4
"sap","sapld","sapmlmet",31.417942,-0.0192194081106255,0.0604279341783244,-0.0974030264258264,0.00138992466320078,0.00382404056025208,-0.0192637981667942,-0.0165405684873407,-0.00664330517690358,21.95,42.0575,6.1,25,9.4875,0.037,0.0145,0.0293333333333333,384.7182056301,-0.01210082462838,63.6,33420.4
"sfb","sfbcc","sfbrrmet",38.0012,-0.0165843990556928,0.0540549362177855,0.323682681118105,0.645711427254327,0.00153109720599179,0.00157720591798161,0.0301092093810175,-0.00435362776768789,16.35,37.03,7.8,43.5,6.2,0.04745,0.229825,0.093075,813.433438912788,-0.028791054710224,8,35265.25
"sfb","sfbgc","sfbrrmet",38.0159,-0.0144428660388616,0.0487654803109465,0.49170311071117,-1.27940225791537,-0.00340121074443413,0.00659728491950679,0.00666536973934271,-0.0281338456562668,16.9,34.65,7.1,39,5.2,0.07235,0.1414,0.1209,813.433438912788,-0.028791054710224,8,35265.25
"sfb","sfbsm","sfbrrmet",38.1841,0.00423411303530041,0.0493609661156498,0.020201539359017,-1.18140446581269,-0.0183821039190018,-0.0030025155682804,0.0124105627179413,-0.00460608347673564,17.2,7.2,7.5,35,3.725,0.05315,0.483575,0.0726375,813.433438912788,-0.028791054710224,8,35265.25
"sos","sosch","soscmmet",43.3377,-0.0135437479015239,0.0140989838003956,0.000889373216112725,-0.0275530119180194,0.0120189717027274,-0.0022695740694591,-0.00556445827215494,0.00158129396264838,12,47.115,8.8,3,2.145,0.0313333333333333,0.122358333333333,0.0318833333333333,-4.4911415584029,-0.0398233987856587,100.85,23321.9
"sos","sosva","soscmmet",43.317217,-0.0243697510359547,0.0210975349946392,-0.00815857092946598,0.0784814373177618,0.00892767310167942,0.000926288312697351,-0.00180477758920127,0.00525517218103844,12.6,44.25,8.6,4,2.625,0.03398,0.120733333333333,0.0261666666666667,-4.4911415584029,-0.0398233987856587,100.85,23321.9
"sos","soswi","soscmmet",43.282417,-0.0445602381568545,0.0297099517464257,0.57142764106424,0.174921281498657,0.0169458157524477,0.0240320851958004,0.00418341737301153,0.00333250605603226,12.45,24.2425,8.55,7,1.07333333333333,0.0252666666666667,0.209633333333333,0.00824166666666667,-4.4911415584029,-0.0398233987856587,100.85,23321.9
"tjr","tjrbr","tjrtlmet",32.5593611,-0.0826255365266892,0.0728427732440549,0.0636181788948391,-0.218422659551248,0.0216789191004852,0.0164319295367741,0.0240603376924759,-0.00454552151953263,17.3,50.74,6.8,3,1.07333333333333,0.10375,0.0208,0.0988,21.5433768711283,0.0075597505508028,4,40574.7
"tjr","tjros","tjrtlmet",32.5683333,-0.0577184979295178,0.0854874497497772,-0.00761725744771511,-0.233954288962557,0.0280353552312233,0.0150149351416335,0.00433122019310119,-0.00869469011687229,18.8,50.82,5.2,5,1.735,0.1139,0.025,0.1615,21.5433768711283,0.0075597505508028,4,40574.7
