"station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"gtmfmnut",2011,9,0.015,0.0505,0.0022,0.0062,0.0078,5,0,0,1,0,0,0
"gtmfmnut",2011,10,0.0165,0.0475,0.0123,0.0352,0.0475,6,0,0,0,0,0,0
"gtmfmnut",2011,11,0.0105,0.038,0.0031,0.01415,0.01725,3.6,0,0,0,0,0,0
"gtmfmnut",2011,12,0.0055,0.044,0.0042,0.0089,0.0131,2.45,0,0,0,0,0,0
"gtmfmnut",2012,1,0.011,0.0255,0.00195,0.00955,0.0115,2.8,0,0,0,0,0,0
"gtmfmnut",2012,2,0.0055,0.0485,0.0024,0.00595,0.00835,1.7,0,0,0,0,0,0
"gtmfmnut",2012,3,0.0075,0.041,0.00355,0.01175,0.0153,3.5,0,0,0,0,0,0
"gtmfmnut",2012,4,0.009,0.0465,0.0044,0.0413,0.0457,3.8,0,0,0,0,0,0
"gtmfmnut",2012,5,0.012,0.0285,0.0016,0.0175,0.0191,3.4,0,0,0,0,0,0
"gtmfmnut",2012,6,0.0065,0.02,0.00245,0.00985,0.0123,4.45,0,0,0,0,0,0
"gtmfmnut",2012,7,0.014,0.0305,0.0021,0.00455,0.00665,3.7,0,0,0,0,0,0
"gtmfmnut",2012,8,0.0165,0.068,0.00425,0.01205,0.0163,2.7,0,0,0,0,0,0
"gtmfmnut",2012,9,0.0245,0.1415,0.0119,0.0251,0.037,4.2,0,0,0,0,0,0
"gtmfmnut",2012,10,0.0085,0.0625,0.00375,0.0147,0.01845,3.25,0,0,0,0,0,0
"gtmfmnut",2012,11,0.0125,0.0885,0.00585,0.01455,0.0204,1.8,0,0,0,0,0,0
"gtmfmnut",2012,12,0.015,0.0225,0.002,,0.0105,1.8,0,1,1,,0,0
"gtmfmnut",2013,1,0.009,0.01,0.002,,0.006,1.7,0,1,1,,0,0
"gtmfmnut",2013,2,0.0115,0.0155,0.002,,0.0045,1.2,0,0,1,,1,0
"gtmfmnut",2013,3,0.0115,0.01,0.002,,,1.55,0,1,1,,,0
"gtmfmnut",2013,4,,0.0735,0.003,0.017,0.02,2.95,,0,0,0,0,0
"gtmfmnut",2013,5,0.017,0.042,0.01,,0.009,3.8,0,0,1,,0,0
"gtmfmnut",2013,6,0.0195,0.04,0.002,0.006,0.0075,4.4,0,0,1,0,0,0
"gtmfmnut",2013,7,0.0175,0.041,0.002,0.007,0.01,5.7,0,0,1,0,0,0
"gtmfmnut",2013,8,0.022,0.0505,0.002,0.0085,0.0105,3.1,0,0,0,0,0,0
"gtmfmnut",2013,9,0.022,0.0355,0.002,,,3.15,0,0,0,,,0
"gtmfmnut",2013,10,0.0195,0.0135,0.005,0.004,0.009,4.8,0,0,0,0,0,0
"gtmfmnut",2013,11,0.0215,0.0245,0.002,0.005,0.0075,2.4,0,0,1,0,0,0
"gtmfmnut",2013,12,0.017,0.023,0.0025,,0.015,,0,0,0,,0,
"gtmfmnut",2014,1,0.01,0.013,0.002,,0.008,1.75,0,0,1,,0,0
"gtmfmnut",2014,2,0.018,0.06,0.002,0.0045,0.0065,1.65,0,0,0,0,0,0
"gtmfmnut",2014,3,0.014,0.0255,0.0025,0.004,0.0065,2.35,0,0,1,1,0,0
"gtmfmnut",2014,4,0.0175,0.0605,0.0025,0.008,0.0105,2.85,0,0,0,0,0,0
"gtmfmnut",2014,5,0.02,0.0385,0.002,,0.0105,5.2,0,0,1,,0,0
"gtmfmnut",2014,6,0.0265,0.0565,0.004,0.012,0.0155,4.65,0,0,0,0,0,0
"gtmfmnut",2014,7,0.0205,0.024,0.002,,0.009,7.15,0,0,1,,0,0
"gtmfmnut",2014,8,0.0285,0.055,0.003,0.0105,0.013,6.15,0,0,0,0,0,0
"gtmfmnut",2014,9,0.0205,0.0355,0.003,0.004,0.006,4.45,0,0,0,1,1,0
"gtmfmnut",2014,10,0.0255,0.036,0.0055,0.0095,0.015,4.25,0,0,0,0,0,0
"gtmfmnut",2014,11,0.021,0.0075,0.002,,0.0045,3.5,0,0,1,,1,0
"gtmfmnut",2014,12,0.026,0.0365,0.0025,0.022,0.0245,2.9,0,0,0,0,0,0
"gtmfmnut",2015,1,0.0155,0.0155,0.002,0.003,0.005,1.75,0,0,1,0,0,0
"gtmfmnut",2015,2,0.01,0.0045,0.002,0.002,0.004,1.7,0,0,1,0,1,0
"gtmfmnut",2015,3,0.0165,0.0205,0.002,0.0045,0.0065,2.7,0,0,1,0,0,0
"gtmfmnut",2015,4,0.015,0.033,0.002,0.005,0.007,3.5,0,0,1,0,0,0
"gtmfmnut",2015,5,0.0175,0.037,0.002,0.0045,0.006,4.6,0,0,1,0,0,0
"gtmfmnut",2015,6,0.0175,0.007,0.002,0.002,0.004,11.5,0,0,1,0,1,0
"gtmfmnut",2015,7,0.0145,0.016,0.002,0.002,0.004,9.6,0,0,1,0,1,0
"gtmfmnut",2015,8,0.0125,0.0225,0.002,0.002,0.004,8.15,0,0,1,0,1,0
"gtmfmnut",2015,9,0.0285,0.12,0.007,0.0085,0.0155,3.65,0,0,0,0,0,0
"gtmfmnut",2015,10,0.0185,0.043,0.007,0.007,0.014,2.3,0,0,0,0,0,0
"gtmfmnut",2015,11,0.017,,0.0025,0.0015,0.004,,0,,1,0,1,
"gtmfmnut",2015,12,0.0165,0.029,0.003,0.006,0.009,2.55,0,0,0,0,0,0
"gtmfmnut",2016,1,0.0095,0.0175,0.002,0.002,0.004,1.09,0,0,1,1,1,0
"gtmfmnut",2016,2,0.007,0.015,0.002,0.002,0.004,0.93,0,0,1,1,1,0
"gtmfmnut",2016,3,0.0085,0.0235,0.002,0.002,0.004,1.1,0,0,1,1,1,0
"gtmfmnut",2016,4,0.016,,0.0035,0.01,0.0135,4.05,0,,1,0,0,0
"gtmfmnut",2016,5,0.011,0.006,0.002,0.002,0.004,5.15,0,0,1,1,1,0
"gtmfmnut",2016,6,0.0185,0.0555,0.002,0.0085,0.0105,4.25,0,0,0,0,0,0
"gtmfmnut",2016,7,0.021,0.025,0.002,0.002,0.004,6.3,0,0,1,1,1,0
"gtmfmnut",2016,8,0.018,0.021,0.002,0.002,0.004,5.2,0,0,1,1,1,0
"gtmfmnut",2016,9,0.016,0.036,0.002,0.0045,0.0065,3.35,0,0,1,0,0,0
"gtmfmnut",2016,10,0.013,0.0215,0.002,0.0025,0.0045,2.05,0,0,1,1,0,0
"gtmfmnut",2016,11,0.016,0.022,0.002,0.0085,0.0105,2.4,0,0,1,0,0,0
"gtmfmnut",2016,12,0.011,0.015,0.002,0.0095,0.0115,2.05,0,0,1,0,0,0
"gtmfmnut",2017,1,0.012,0.012,0.002,0.008,0.01,1.5,0,0,1,0,0,0
"gtmfmnut",2017,2,0.0135,0.02,0.002,0.0125,0.0145,1.85,0,0,0,0,0,0
"gtmfmnut",2017,3,0.009,0.0155,0.002,0.0025,0.0045,2.3,0,0,1,0,1,0
"gtmfmnut",2017,4,0.0145,0.0245,0.002,0.0045,0.0065,3,0,0,1,0,0,0
"gtmfmnut",2017,5,0.013,0.027,0.003,0.0035,0.0065,4.15,0,0,0,0,0,0
"gtmfmnut",2017,6,0.015,0.0335,0.002,0.006,0.008,4.55,0,0,1,0,0,0
"gtmfmnut",2017,7,0.018,0.043,0.002,0.0055,0.0075,2.25,0,0,1,0,0,0
"gtmfmnut",2017,8,0.018,0.038,0.0025,0.0145,0.017,4.35,0,0,0,0,0,0
"gtmfmnut",2017,9,0.0375,0.165,0.0135,0.0095,0.023,2.45,0,0,0,0,0,0
"gtmfmnut",2017,10,0.0425,0.093,0.047,0.0155,0.0625,1.55,0,0,0,0,0,0
"gtmfmnut",2017,11,0.029,0.0665,0.012,0.0405,0.0525,2.75,0,0,0,0,0,0
"gtmfmnut",2017,12,0.019,0.034,0.006,0.024,0.03,2.2,0,0,0,0,0,0
"gtmfmnut",2018,1,0.0175,0.009,0.002,0.0095,0.0115,1.45,0,0,1,0,0,0
"gtmfmnut",2018,2,0.0165,0.0185,0.002,0.0045,0.0065,1.75,0,0,1,0,0,0
"gtmfmnut",2018,3,0.0145,0.0135,0.002,0.0125,0.0145,2.15,0,0,1,0,0,0
"gtmfmnut",2018,4,0.013,0.0265,0.002,0.0045,0.0065,2.7,0,0,1,0,0,0
"gtmfmnut",2018,5,0.016,0.0235,0.0025,0.0045,0.007,15.5,0,0,0,0,0,0
"gtmfmnut",2018,6,0.0285,0.0865,0.004,0.0155,0.0195,6.35,0,0,0,0,0,0
"gtmfmnut",2018,7,0.024,0.061,0.003,0.014,0.017,4.85,0,0,0,0,0,0
"gtmfmnut",2018,8,0.027,0.058,0.002,0.0135,0.0155,5.8,0,0,0,0,0,0
"gtmfmnut",2018,9,0.022,0.032,0.002,0.0085,0.0105,5.1,0,0,1,0,0,0
"gtmfmnut",2018,10,0.012,0.0175,0.007,0.002,0.009,4,0,0,0,0,0,0
"gtmfmnut",2018,11,0.017,0.022,0.002,0.008,0.01,3.95,0,0,0,0,0,0
"gtmfmnut",2018,12,0.02,0.0465,0.003,0.147,0.15,2.15,0,0,0,0,0,0
"gtmfmnut",2019,1,0.004,0.004,0.002,0.005,0.007,6.6,1,0,1,0,0,0
"gtmfmnut",2019,2,0.004,0.005,0.002,0.002,0.004,3.55,1,0,1,0,1,0
"gtmfmnut",2019,3,0.0085,0.0145,0.002,0.004,0.006,2,0,0,1,0,0,0
"gtmfmnut",2019,4,0.006,0.009,0.002,0.005,0.007,2.9,0,0,1,0,1,0
"gtmfmnut",2019,5,0.01,0.013,0.002,0.0025,0.0045,4.55,0,0,1,0,1,0
"gtmfmnut",2019,6,0.004,0.003,0.002,0.002,0.004,3.8,1,0,1,0,1,0
"gtmfmnut",2019,7,0.004,0.0045,0.002,0.004,0.006,5.05,1,0,1,0,1,0
"gtmfmnut",2019,8,0.006,0.0065,0.002,0.002,0.004,4.75,0,0,1,0,1,0
"gtmfmnut",2019,9,0.0045,0.003,0.002,0.002,0.004,5,0,1,1,0,1,0
"gtmfmnut",2019,10,0.0055,0.005,0.002,0.002,0.004,6.45,0,0,1,0,1,0
"gtmfmnut",2019,11,0.0125,0.0145,0.005,0.006,0.011,3.55,0,0,0,0,0,0
"gtmfmnut",2019,12,0.0125,0.0125,0.002,0.002,0.004,4.4,0,0,1,0,1,0
"gtmfmnut",2020,1,0.0075,0.012,0.004,0.009,0.013,,0,0,0,0,0,
"gtmfmnut",2020,2,0.005,0.0075,0.002,,0.004,5.4,0,0,1,,1,0
"gtmfmnut",2020,3,0.004,0.004,,,0.004,2.55,0,0,,,1,0
"gtmfmnut",2020,4,,0.0395,,,0.0155,,,0,,,0,
"gtmfmnut",2020,5,,0.0205,,,0.004,,,0,,,1,
"gtmfmnut",2020,6,,,,,,,,,,,,
"gtmfmnut",2020,7,0.0095,0.005,0.002,,0.004,7.55,0,0,1,,1,0
"gtmfmnut",2020,8,0.015,0.0145,0.002,,0.005,4.4,0,0,1,,1,0
"gtmfmnut",2020,9,0.018,0.0315,0.002,0.0075,0.0095,3.1,0,0,0,0,0,0
"gtmfmnut",2020,10,0.035,0.105,0.018,0.019,0.037,2.65,0,0,0,0,0,0
"gtmfmnut",2020,11,0.01,0.0085,0.0025,0.0055,0.008,4.15,0,0,0,0,0,0
"gtmfmnut",2020,12,0.0225,0.046,0.007,0.0205,0.0275,2.95,0,0,0,0,0,0
"gtmfmnut",2021,1,0.013,0.014,,,0.004,1.1,0,0,,,1,0
"gtmfmnut",2021,2,0.0125,0.014,,,0.004,1.55,0,0,,,1,0
"gtmfmnut",2021,3,0.013,0.0115,,,0.004,1.65,0,0,,,1,0
"gtmfmnut",2021,4,0.0145,0.0175,,,0.004,2.2,0,0,,,1,0
"gtmfmnut",2021,5,0.0085,0.0075,,,0.004,6.5,0,0,,,1,0
"gtmfmnut",2021,6,0.009,0.009,,,0.004,11,0,0,,,1,0
"gtmfmnut",2021,7,0.0065,0.006,,,0.004,8.7,0,0,,,1,0
"gtmfmnut",2021,8,0.0215,0.0275,,,0.004,7.2,0,0,,,1,0
"gtmfmnut",2021,9,0.0185,0.0265,,,0.006,4,0,0,,,0,0
"gtmfmnut",2021,10,0.0135,,,,0.004,4.9,0,,,,1,0
"gtmfmnut",2021,11,0.028,0.042,,,0.015,4,0,0,,,0,0
"gtmfmnut",2021,12,0.02,0.0245,,,0.008,2.4,0,0,,,0,0
"gtmfmnut",2022,1,0.0085,0.0125,,,0.0105,5.2,0,0,,,0,0
"gtmfmnut",2022,2,0.0095,0.005,,,0.007,4.3,0,0,,,0,0
"gtmfmnut",2022,3,0.004,,,,0.004,4.25,0,,,,1,0
"gtmfmnut",2022,4,0.0195,0.0325,,,0.011,4.5,0,0,,,0,0
"gtmfmnut",2022,5,0.0105,0.0075,,,0.004,5.55,0,0,,,1,0
"gtmfmnut",2022,6,0.011,0.011,,,0.004,5.5,0,0,,,1,0
"gtmfmnut",2022,7,0.0155,0.015,,,0.004,5.6,0,0,,,1,0
"gtmfmnut",2022,8,0.019,0.032,,,0.004,3.3,0,0,,,1,0
"gtmfmnut",2022,9,0.011,,,,0.004,3.8,0,,,,1,0
"gtmfmnut",2022,10,0.008,0.0115,,,0.004,5.2,0,0,,,1,0
"gtmfmnut",2022,11,0.0105,0.0105,,,0.004,4.3,0,0,,,1,0
"gtmfmnut",2022,12,0.0125,0.0225,,,0.005,1.75,0,0,,,0,0
"gtmfmnut",2023,1,0.004,0.0065,,,0.004,2.8,1,0,,,1,0
"gtmfmnut",2023,2,0.0055,0.0135,,,0.004,4.95,0,0,,,1,0
"gtmfmnut",2023,3,0.0045,0.007,,,0.004,4.05,0,0,,,1,0
"gtmfmnut",2023,4,0.007,0.008,,,0.004,3.85,0,0,,,1,0
"gtmfmnut",2023,5,0.0135,0.027,,,0.004,6.8,0,0,,,1,0
"gtmfmnut",2023,6,0.005,0.016,,,0.004,5.6,0,0,,,1,0
"gtmfmnut",2023,7,0.0095,0.0195,,,0.004,6.25,0,0,,,1,0
"gtmfmnut",2023,8,0.017,0.053,,,0.005,3.65,0,0,,,0,0
"gtmfmnut",2023,9,0.014,0.0295,,,0.004,3.5,0,0,,,1,0
"gtmfmnut",2023,10,0.016,0.0265,,,0.0075,4.1,0,0,,,0,0
"gtmfmnut",2023,11,0.0145,0.022,,,0.005,3.1,0,0,,,0,0
"gtmfmnut",2023,12,0.0125,0.035,,,0.0105,5.2,0,0,,,0,0
"gtmfmnut",2024,1,0.014,0.02,,,0.007,2.9,0,0,,,0,0
"gtmfmnut",2024,2,0.0075,0.0065,,,0.004,4.95,0,0,,,1,0
"gtmfmnut",2024,3,0.017,0.025,,,0.007,2.6,0,0,,,0,0
"gtmfmnut",2024,4,0.008,0.0045,,,0.004,3.2,0,0,,,1,0
"gtmfmnut",2024,5,0.0065,,,,,4.9,0,,,,,0
"gtmfmnut",2024,6,0.005,0.004,,,0.004,3.7,0,0,,,1,0
"gtmfmnut",2024,7,0.0235,0.038,,,0.01,4,0,0,,,0,0
"gtmfmnut",2024,8,0.0115,0.022,,,0.005,5.55,0,0,,,0,0
"gtmfmnut",2024,9,0.0165,0.0645,,,0.0225,5.65,0,0,,,0,0
"gtmfmnut",2024,10,0.016,0.0205,,,0.024,7.7,0,0,,,0,0
"gtmfmnut",2024,11,0.014,0.02,,,0.007,3,0,0,,,0,0
"gtmfmnut",2024,12,0.012,0.011,,,0.004,3.05,0,0,,,1,0
"gtmpcnut",2002,5,0.0565,0.0525,0.0019,0.00065,0.00255,12.5,0,0,0,0,0,0
"gtmpcnut",2002,6,0.002,0.0205,0.0017,0.00045,0.00215,9.2,1,0,0,0,0,0
"gtmpcnut",2002,7,0.053,0.073,0.01215,0.0071,0.01925,9.35,0,0,0,0,0,0
"gtmpcnut",2002,8,0.0395,0.111,0.00965,0.01065,0.0203,7.6,0,0,0,0,0,0
"gtmpcnut",2002,9,0.036,0.085,0.01305,0.0175,0.03055,2.95,0,0,0,0,0,0
"gtmpcnut",2002,10,0.0415,0.078,0.01385,0.0083,0.02215,1.95,0,0,0,0,0,0
"gtmpcnut",2002,11,0.0325,0.046,0.0035,0.0194,0.0229,2.6,0,0,0,0,0,0
