Join_Count,station,Reserve,lon,lat,Join_Count,areaacres,areasqkm,states,huc12,name
3,NIWWB,NIW,-79.288756,33.309425,1,47966.83,194.12,SC,30402070208,Winyah Bay
3,NIWWS,NIW,-79.288756,33.309425,1,47966.83,194.12,SC,30402070208,Winyah Bay
3,NIWCB,NIW,-79.193041,33.333864,1,47966.83,194.12,SC,30402070208,Winyah Bay
3,NIWDC,NIW,-79.167457,33.360149,1,47966.83,194.12,SC,30402070208,Winyah Bay
1,NIWOL,NIW,-79.188882,33.349351,1,15706.37,63.56,SC,30402080402,Debidue Creek
1,ACEFJ,ACE,-79.898991,32.753327,1,44900.09,181.7,SC,30502010707,Lower Cooper River
1,SOSCH,SOS,-124.320533,43.3377,1,19793.75,80.1,OR,1.71003E+11,Winchester Creek
1,SOSEC,SOS,-124.310729,43.296501,1,19793.75,80.1,OR,1.71003E+11,Winchester Creek
1,SOSSE,SOS,-124.302617,43.289683,1,19793.75,80.1,OR,1.71003E+11,Winchester Creek
1,SOSVA,SOS,-124.321633,43.317217,1,19793.75,80.1,OR,1.71003E+11,Winchester Creek
1,SOSWI,SOS,-124.320317,43.282417,1,19793.75,80.1,OR,1.71003E+11,Winchester Creek
1,TJRBR,TJR,-117.128972,32.559361,1,30924.81,125.15,"CA,MX",1.80703E+11,Tijuana River-Frontal Pacific Ocean
1,TJRMM,TJR,-117.123,32.5478,1,30924.81,125.15,"CA,MX",1.80703E+11,Tijuana River-Frontal Pacific Ocean
1,TJROS,TJR,-117.131278,32.568333,1,30924.81,125.15,"CA,MX",1.80703E+11,Tijuana River-Frontal Pacific Ocean
1,TJRRC,TJR,-117.1061,32.5578,1,30924.81,125.15,"CA,MX",1.80703E+11,Tijuana River-Frontal Pacific Ocean
1,TJRTL,TJR,-117.1272,32.5744,1,30924.81,125.15,"CA,MX",1.80703E+11,Tijuana River-Frontal Pacific Ocean
3,GTMFM,GTM,-81.245953,29.737041,1,31108.94,125.89,FL,30802010404,Pellicer Creek-Big Mulberry Branch Frontal
3,GTMPC,GTM,-81.257403,29.667071,1,31108.94,125.89,FL,30802010404,Pellicer Creek-Big Mulberry Branch Frontal
1,GTMPI,GTM,-81.367465,30.050857,1,37437.14,151.5,FL,30802010501,Upper Tolomato River
1,GTMSS,GTM,-81.307428,29.868851,1,25048.5,101.37,FL,30802010603,Tolomato River-Moses Creek Frontal
2,MARMB,MAR,-96.8285,28.1384,1,189881.56,768.42,TX,1.21004E+11,San Antonio Bay-Espiritu Santo Bay
5,ACEBB,ACE,-80.3241,32.4941,1,33955.88,137.41,SC,30502071003,Lower Ashepoo River
5,ACEEI,ACE,-80.3247,32.504,1,33955.88,137.41,SC,30502071003,Lower Ashepoo River
1,ACEFC,ACE,-80.36556,32.63593,1,37371.85,151.24,SC,30502060405,Dawho River-North Edisto River
5,ACEGP,ACE,-80.413,32.6637,1,33955.88,137.41,SC,30502071003,Lower Ashepoo River
1,ACEJI,ACE,-80.3965,32.6209,1,34369.05,139.09,SC,30502060308,South Edisto River-Atlantic Intracoastal Waterway
2,ACESP,ACE,-80.36144,32.528,1,16107.95,65.19,SC,30502060307,Store Creek
1,CBMOC,CBM,-76.2746,39.4507,1,21206.39,85.82,MD,20600030105,Bush River
2,HUDNP,HUD,-73.94194,41.83167,1,20051.59,81.15,NY,20200061105,Mudder Kill-Hudson River
1,OWCBR,OWC,-82.512222,41.348889,1,16935.46,68.54,OH,41000120304,Old Woman Creek
1,OWCDR,OWC,-82.504722,41.365,1,16935.46,68.54,OH,41000120304,Old Woman Creek
1,OWCOL,OWC,-82.513889,41.381667,1,16935.46,68.54,OH,41000120304,Old Woman Creek
1,OWCRR,OWC,-82.513056,41.3725,1,16935.46,68.54,OH,41000120304,Old Woman Creek
1,OWCSU,OWC,-82.5072,41.3672,1,16935.46,68.54,OH,41000120304,Old Woman Creek
1,OWCWM,OWC,-82.514444,41.3825,1,16935.46,68.54,OH,41000120304,Old Woman Creek
1,NOCEC,NOC,-77.9411,33.9399,1,25484.14,103.13,NC,30300050803,Town of Southport-Cape Fear River
1,NOCZB,NOC,-77.935,33.9547,1,25484.14,103.13,NC,30300050803,Town of Southport-Cape Fear River
1,HUDBM,HUD,-73.985225,41.314339,1,37306.3,150.97,NY,20301010105,Furnace Brook-Hudson River
2,CBVGI,CBV,-76.392675,37.215796,1,41263.16,166.99,VA,20801080101,Poquoson River-Frontal Chesapeake Bay
1,HUDFL,HUD,-73.789089,42.354011,1,16896.38,68.38,NY,20200060407,Mill Creek-Hudson River
1,HUDSC,HUD,-73.9108,42.0463,1,13558.02,54.87,NY,20200061103,Stony Creek
3,HUDSK,HUD,-73.914961,42.017172,1,20051.59,81.15,NY,20200061105,Mudder Kill-Hudson River
1,HUDTN,HUD,-73.925324,42.036546,1,20051.59,81.15,NY,20200061105,Mudder Kill-Hudson River
1,HUDTS,HUD,-73.925957,42.027038,1,20051.59,81.15,NY,20200061105,Mudder Kill-Hudson River
3,GNDBC,GND,-88.4364,30.3836,1,58582.1,237.07,MS,31700090303,Pt Aux Chenes Bay-Mississippi Sound
3,GNDBH,GND,-88.4054,30.4178,1,58582.1,237.07,MS,31700090303,Pt Aux Chenes Bay-Mississippi Sound
3,GNDBL,GND,-88.4629,30.3571,1,58582.1,237.07,MS,31700090303,Pt Aux Chenes Bay-Mississippi Sound
3,GNDCR,GND,-88.419,30.3599,1,58582.1,237.07,MS,31700090303,Pt Aux Chenes Bay-Mississippi Sound
3,GNDPC,GND,-88.4185,30.3486,1,58582.1,237.07,MS,31700090303,Pt Aux Chenes Bay-Mississippi Sound
1,WKBFR,WKB,-87.8228,30.4162,1,34451.87,139.42,AL,31602050204,Lower Fish River
2,WKBMB,WKB,-87.8335,30.3961,1,26116.19,105.69,AL,31602050203,Magnolia River
2,WKBMR,WKB,-87.8177,30.39,1,26116.19,105.69,AL,31602050203,Magnolia River
2,WKBWB,WKB,-87.832,30.3808,1,26116.19,105.69,AL,31602050203,Magnolia River
1,ELKAP,ELK,-121.7538,36.8457,1,45484.45,184.07,CA,1.806E+11,Elkhorn Slough
1,ELKNM,ELK,-121.7384,36.8346,1,45484.45,184.07,CA,1.806E+11,Elkhorn Slough
1,ELKSM,ELK,-121.7394,36.8179,1,45484.45,184.07,CA,1.806E+11,Elkhorn Slough
1,ELKVM,ELK,-121.7792,36.8111,1,45484.45,184.07,CA,1.806E+11,Elkhorn Slough
4,JACB6,JAC,-74.3385,39.5079,1,31918.72,129.17,NJ,20403010704,Tuckerton Creek-Little Egg Harbor
4,JACB9,JAC,-74.381131,39.497942,1,31918.72,129.17,NJ,20403010704,Tuckerton Creek-Little Egg Harbor
1,JACBA,JAC,-74.5515,39.5937,1,36572.15,148,NJ,20403010606,Middle Mullica River
4,JACNE,JAC,-74.4608,39.5479,1,31918.72,129.17,NJ,20403010704,Tuckerton Creek-Little Egg Harbor
1,NARNC,NAR,-71.324283,41.62485,1,18337.49,74.21,RI,10900040906,Upper West Passage
1,NARPC,NAR,-71.340881,41.64055,1,18552.65,75.08,RI,10900040907,Upper East Passage
1,NARTB,NAR,-71.321125,41.578361,1,18552.65,75.08,RI,10900040907,Upper East Passage
1,NARTS,NAR,-71.321125,41.578361,1,18552.65,75.08,RI,10900040907,Upper East Passage
1,NARTW,NAR,-71.321417,41.579217,1,18552.65,75.08,RI,10900040907,Upper East Passage
1,NOCLC,NOC,-77.8328,34.1722,1,32817.33,132.81,NC,30203020502,Masonboro Inlet-Mason Inlet
1,NOCRC,NOC,-77.8499,34.156,1,32817.33,132.81,NC,30203020502,Masonboro Inlet-Mason Inlet
1,SAPBC,SAP,-81.2786,31.4392,1,67467.59,273.03,GA,30602040801,Doboy Sound-Frontal Atlantic Ocean
1,SAPCA,SAP,-81.2399,31.4437,1,67467.59,273.03,GA,30602040801,Doboy Sound-Frontal Atlantic Ocean
1,SAPDC,SAP,-81.2789,31.3896,1,67467.59,273.03,GA,30602040801,Doboy Sound-Frontal Atlantic Ocean
1,SAPFD,SAP,-81.2675,31.4828,1,67467.59,273.03,GA,30602040801,Doboy Sound-Frontal Atlantic Ocean
1,SAPHD,SAP,-81.2731,31.4786,1,67467.59,273.03,GA,30602040801,Doboy Sound-Frontal Atlantic Ocean
1,SAPLD,SAP,-81.296047,31.417942,1,67467.59,273.03,GA,30602040801,Doboy Sound-Frontal Atlantic Ocean
1,SAPML,SAP,-81.2961,31.4177,1,67467.59,273.03,GA,30602040801,Doboy Sound-Frontal Atlantic Ocean
1,CBVSH,CBV,-76.88424,37.57138,1,32157.75,130.14,VA,20801061102,Mill Creek-Pamunkey River
1,CBVSP,CBV,-76.88399,37.571398,1,32157.75,130.14,VA,20801061102,Mill Creek-Pamunkey River
1,CBMIP,CBM,-76.7208,38.796,1,26912.86,108.91,MD,20600060304,Charles Branch-Western Branch Patuxent River
1,CBMJB,CBM,-76.7077,38.7792,1,23919.98,96.8,MD,20600060502,Mataponi Creek-Patuxent River
1,CBMMC,CBM,-76.7074,38.7433,1,23919.98,96.8,MD,20600060502,Mataponi Creek-Patuxent River
1,CBMPR,CBM,-76.7091,38.7732,1,23919.98,96.8,MD,20600060502,Mataponi Creek-Patuxent River
1,CBMRR,CBM,-76.7137,38.7813,1,23919.98,96.8,MD,20600060502,Mataponi Creek-Patuxent River
4,GRBGB,GRB,-70.8694,43.0722,1,12988.48,52.56,NH,10600030806,Squamscott River
1,GRBLR,GRB,-70.9344,43.08,1,13190.82,53.38,NH,10600030709,Lamprey River
4,GRBOR,GRB,-70.911,43.134,1,12988.48,52.56,NH,10600030806,Squamscott River
4,GRBSQ,GRB,-70.911811,43.052403,1,12988.48,52.56,NH,10600030806,Squamscott River
1,WELDN,WEL,-70.5603,43.3289,1,39989.25,161.83,ME,10600031102,Stevens Brook-Frontal Atlantic Ocean
1,WELHT,WEL,-70.587094,43.298347,1,39989.25,161.83,ME,10600031102,Stevens Brook-Frontal Atlantic Ocean
1,WELIN,WEL,-70.563442,43.320089,1,39989.25,161.83,ME,10600031102,Stevens Brook-Frontal Atlantic Ocean
2,WELLM,WEL,-70.540603,43.340153,1,39989.25,161.83,ME,10600031102,Stevens Brook-Frontal Atlantic Ocean
1,WELML,WEL,-70.5764,43.305,1,39989.25,161.83,ME,10600031102,Stevens Brook-Frontal Atlantic Ocean
2,WELSM,WEL,-70.549217,43.344711,1,39989.25,161.83,ME,10600031102,Stevens Brook-Frontal Atlantic Ocean
1,WELUP,WEL,-70.5572,43.3306,1,39989.25,161.83,ME,10600031102,Stevens Brook-Frontal Atlantic Ocean
1,ACEMC,ACE,-80.438,32.5558,1,33955.88,137.41,SC,30502071003,Lower Ashepoo River
1,ACERC,ACE,-80.5036,32.5485,1,33955.88,137.41,SC,30502071003,Lower Ashepoo River
1,TJRPE,TJR,-117.11624,32.60098,1,41452.67,167.75,CA,1.80703E+11,San Diego Bay
1,TJRPR,TJR,-117.118194,32.596083,1,41452.67,167.75,CA,1.80703E+11,San Diego Bay
1,TJRSB,TJR,-117.115833,32.601,1,41452.67,167.75,CA,1.80703E+11,San Diego Bay
3,SFBCC,SFB,-122.4604,38.0012,1,85721.02,346.9,CA,1.805E+11,Novato Creek-Frontal San Pablo Bay Estuaries
1,SFBGC,SFB,-122.5085,38.0159,1,85721.02,346.9,CA,1.805E+11,Novato Creek-Frontal San Pablo Bay Estuaries
3,SFBRB,SFB,-122.487563,37.876689,1,85721.02,346.9,CA,1.805E+11,Novato Creek-Frontal San Pablo Bay Estuaries
3,MARSC,MAR,-97.0503,27.8383,1,149590.31,605.37,TX,1.21004E+11,Aransas Bay
1,LKSOL,LKS,-92.20166,46.65685,1,32702.61,132.34,"MN,WI",40102011603,Spirit Lake-Saint Louis River
1,LKSPO,LKS,-92.135614,46.67236,1,20408.03,82.59,"MN,WI",40102011602,Pokegama River
1,LKSBA,LKS,-92.06352,46.721772,1,32702.61,132.34,"MN,WI",40102011603,Spirit Lake-Saint Louis River
1,LKSBL,LKS,-92.10027,46.748649,1,32702.61,132.34,"MN,WI",40102011603,Spirit Lake-Saint Louis River
2,PDBBP,PDB,-122.530894,48.556322,1,383234.63,1550.9,"CN,WA",1.711E+11,Padilla Bay-Strait of Georgia
2,PDBBY,PDB,-122.502114,48.496139,1,383234.63,1550.9,"CN,WA",1.711E+11,Padilla Bay-Strait of Georgia
2,PDBGD,PDB,-122.5725,48.5575,1,383234.63,1550.9,"CN,WA",1.711E+11,Padilla Bay-Strait of Georgia
2,PDBGS,PDB,-122.5725,48.5575,1,383234.63,1550.9,"CN,WA",1.711E+11,Padilla Bay-Strait of Georgia
2,PDBJE,PDB,-122.474928,48.518914,1,383234.63,1550.9,"CN,WA",1.711E+11,Padilla Bay-Strait of Georgia
2,PDBJL,PDB,-122.474189,48.518264,1,383234.63,1550.9,"CN,WA",1.711E+11,Padilla Bay-Strait of Georgia
2,PDBJT,PDB,-122.474186,48.51817,1,383234.63,1550.9,"CN,WA",1.711E+11,Padilla Bay-Strait of Georgia
2,PDBNN,PDB,-122.4674,48.4695,1,383234.63,1550.9,"CN,WA",1.711E+11,Padilla Bay-Strait of Georgia
1,SFBFM,SFB,-122.0328,38.1949,1,75356.61,304.96,CA,1.805E+11,Suisun Bay Estuaries
1,SFBSM,SFB,-122.0136,38.1841,1,75356.61,304.96,CA,1.805E+11,Suisun Bay Estuaries
1,CBMMB,CBM,-75.804583,38.20855,1,18448.57,74.66,MD,20801100306,Monie Bay
1,NIWCA,NIW,-79.1667,33.45,1,26413.35,106.89,SC,30402061003,Outlet Waccamaw River-Atlantic Intracoastal Waterway
4,CBVCB,CBV,-76.611263,37.346665,1,25672.96,103.89,VA,20801070104,Skimino Creek-York River
1,CBVTC,CBV,-76.71442,37.414986,1,25672.96,103.89,VA,20801070104,Skimino Creek-York River
