name,gridcode,FREQUENCY,SUM_Shape_
Tangier,22,14335,48852456.64670000000
Tangier,23,7589,24954821.79570000000
Tangier,24,1990,10817251.11700000000
Tangier,31,1085,2932503.41492000000
Tangier,41,3462,11235557.81250000000
Tangier,42,7071,107989834.79000000000
Tangier,43,9417,53494764.91700000000
Tangier,52,1977,7468986.81334000000
Tangier,71,909,3068443.07557000000
Tangier,81,1211,8447859.47571000000
Tangier,82,3728,379565082.55900000000
Tangier,90,10086,508109202.05400000000
Tangier,95,6957,374682337.97600000000
Waccamaw,11,3821,85403526.11390000000
Waccamaw,21,57417,223615331.43300000000
Waccamaw,22,47139,145141929.24500000000
Waccamaw,23,20624,69397407.33950000000
Waccamaw,24,4861,13495199.16690000000
Waccamaw,31,839,3485839.25172000000
Waccamaw,41,1387,3647005.58166000000
Waccamaw,42,33537,779370512.06300000000
Waccamaw,43,6582,21982038.24460000000
Waccamaw,52,21408,169991518.93600000000
Waccamaw,71,10322,107335433.55100000000
Waccamaw,81,3970,10372834.01180000000
Waccamaw,82,12309,731640614.66700000000
Waccamaw,90,20279,1483960515.13000000000
Waccamaw,95,17762,132551310.47100000000
York,11,1061,167100146.19100000000
York,21,9938,57135664.59960000000
York,22,7411,22534088.43380000000
York,23,3406,13408150.06710000000
York,24,1154,3535365.42663000000
York,31,307,1248945.44677000000
York,41,5118,27051666.17430000000
York,42,7126,97051860.02200000000
York,43,8796,152327860.75700000000
York,52,1511,14340702.14540000000
York,71,996,12182352.48410000000
York,81,1792,5265019.74793000000
York,82,1801,61739700.12820000000
York,90,4515,67266634.24070000000
York,95,2121,28339078.07920000000
