,station,parameter,Slope,std.error,conf.low,conf.high,statistic,p.value,Intercept,R2_adj,Dev_expl,model_error,ar1_start,threshold,model_refit,ar1_end,ts_start,ts_end,ts_length,n_points,Winter_estimate,Spring_estimate,Summer_estimate,Fall_estimate,Winter_p.value,Spring_p.value,Summer_p.value,Fall_p.value,Winter_std.error,Spring_std.error,Summer_std.error,Fall_std.error,sig_trend,sig_autocorr
26,gndpcnut,chla_n,0.089126662,0.01098859,0.067589422,0.110663902,8.110837135,6.50E-14,-177.7984332,0.407110516,0.423172726,FALSE,0.5485,0.141081295,TRUE,0.5485,2005.619178,2022.953425,17.33424658,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
27,grbgbnut,chla_n,0.019667099,0.009364086,0.001313827,0.038020371,2.100268839,0.037733103,-38.15169558,0.133626763,0.161406592,FALSE,0.0568,0.172565207,FALSE,0.0568,2002.284932,2022.953425,20.66849315,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
28,grblrnut,chla_n,0.012681275,0.011584766,-0.010024448,0.035386999,1.094651009,0.275835387,-24.62754402,0.285694236,0.311374411,FALSE,0.3109,0.17391868,TRUE,0.3109,2002.284932,2022.953425,20.66849315,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
29,grbornut,chla_n,0.062353129,0.012062033,0.038711979,0.08599428,5.169371336,1.21E-06,-124.1295859,0.436457027,0.46361243,FALSE,0.1818,0.190368531,FALSE,0.1818,2004.368852,2022.953425,18.5845722,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
30,grbsqnut,chla_n,0.008031622,0.009766662,-0.011110683,0.027173927,0.822350807,0.412570345,-14.61982032,0.212592445,0.241490839,FALSE,0.0108,0.178178544,FALSE,0.0108,2002.284932,2022.953425,20.66849315,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
31,gtmfmnut,chla_n,0.023347515,0.004721072,0.014094383,0.032600647,4.9453838,1.44E-06,-45.83044688,0.449194644,0.464114189,FALSE,0.3398,0.125473837,TRUE,0.3398,2002.367123,2022.953425,20.58630137,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
32,gtmpcnut,chla_n,0.023152875,0.009944709,0.003661604,0.042644146,2.328160196,0.02076188,-44.81979624,0.177442419,0.192542677,FALSE,0.2698,0.127045595,TRUE,0.2698,2002.367123,2022.953425,20.58630137,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
33,gtmpinut,chla_n,0.008129913,0.004766672,-0.001212592,0.017472418,1.705574361,0.089403875,-14.78333098,0.328552429,0.345597834,FALSE,0.3762,0.125731748,TRUE,0.3762,2002.367123,2022.953425,20.58630137,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
34,gtmssnut,chla_n,0.019979195,0.004325998,0.011500395,0.028457995,4.618401372,6.36E-06,-38.81459564,0.280607665,0.295780535,FALSE,0.3588,0.125991257,TRUE,0.3588,2002.367123,2022.953425,20.58630137,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
35,hudtnnut,chla_n,-0.031417415,0.016153341,-0.063077381,0.000242551,-1.944948481,0.054035502,64.0331268,0.280169445,0.310558959,FALSE,0.4723,0.171242848,TRUE,0.4723,2002.871233,2022.953425,20.08219178,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
36,hudtsnut,chla_n,-0.043015786,0.015066224,-0.072545043,-0.013486528,-2.855113835,0.00503197,87.3813338,0.236267181,0.270453272,FALSE,0.3651,0.169950431,TRUE,0.3651,2002.871233,2022.953425,20.08219178,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
37,jacb6nut,chla_n,0.036256761,0.007820855,0.020928166,0.051585356,4.635907292,7.26E-06,-71.31474325,0.317729779,0.347485564,FALSE,0.3638,0.149882192,TRUE,0.3638,2002.2,2022.953425,20.75342466,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
38,jacb9nut,chla_n,0.031430487,0.008304388,0.015154186,0.047706788,3.784804869,0.000217924,-61.53885348,0.361517504,0.391578172,FALSE,0.1543,0.151666567,TRUE,0.1543,2002.284932,2022.953425,20.66849315,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
39,jacbanut,chla_n,0.037643182,0.013379717,0.011419418,0.063866945,2.813451285,0.005499111,-75.06481912,0.406403461,0.425802752,FALSE,0.268,0.149882192,TRUE,0.268,2002.2,2022.953425,20.75342466,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
40,jacnenut,chla_n,0.034737139,0.009744414,0.015638439,0.05383584,3.564825872,0.000479119,-68.65181007,0.204428976,0.230591639,FALSE,0.2456,0.151214504,TRUE,0.2456,2002.284932,2022.953425,20.66849315,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
41,job09nut,chla_n,0.023143357,0.026409724,-0.02861875,0.074905464,0.876319542,0.382676929,-45.33002041,0.09058647,0.118135023,FALSE,0.0825,0.178919414,FALSE,0.0825,2007.367123,2019.2,11.83287671,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
42,job10nut,chla_n,0.041082627,0.017163713,0.007442367,0.074722887,2.393574506,0.018285176,-82.23138459,0.175383062,0.201001974,FALSE,0.2668,0.178178544,TRUE,0.2668,2007.367123,2019.2,11.83287671,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
43,job19nut,chla_n,0.031413783,0.013622073,0.00471501,0.058112557,2.3060941,0.022859245,-63.7569946,0.119011788,0.144877498,FALSE,0.0711,0.177446802,FALSE,0.0711,2007.367123,2019.2,11.83287671,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
44,job20nut,chla_n,0.053120611,0.015568771,0.02260638,0.083634842,3.411997678,0.00088208,-108.0244969,0.168706792,0.196676556,FALSE,0.0909,0.176009962,FALSE,0.0909,2007.367123,2019.2,11.83287671,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
45,kachdnut,chla_n,0.067331277,0.007957803,0.051734269,0.082928285,8.461037936,3.26E-15,-135.4681536,0.610984012,0.62373986,FALSE,0.0526,0.127582788,FALSE,0.0526,2002.123288,2022.953425,20.83013699,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
46,kacsdnut,chla_n,0.033516325,0.006880468,0.020030855,0.047001795,4.871227456,2.10E-06,-67.22039949,0.713420031,0.722391431,FALSE,0.309,0.12867794,TRUE,0.309,2002.123288,2022.953425,20.83013699,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
47,kacssnut,chla_n,0.028522136,0.006583995,0.015617742,0.04142653,4.332040679,2.21E-05,-57.17348865,0.715957785,0.724792005,FALSE,0.1858,0.127313342,TRUE,0.1858,2002.123288,2022.953425,20.83013699,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
48,lksbanut,chla_n,0.002753754,0.031413506,-0.058815587,0.064323094,0.087661459,0.930454816,-3.353818757,0.098037069,0.148176837,FALSE,0.4285,0.250947673,TRUE,0.4285,2012.368852,2022.786301,10.41744891,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
49,lksblnut,chla_n,0.026462924,0.036803241,-0.045670103,0.098595952,0.719037868,0.475099851,-51.84724454,0.087601927,0.131783278,FALSE,0.4187,0.253030262,TRUE,0.4187,2012.368852,2022.786301,10.41744891,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
50,lksolnut,chla_n,-0.006792243,0.031563203,-0.068654983,0.055070497,-0.215194998,0.830397486,14.91895439,0.105907069,0.151783616,FALSE,0.1939,0.253030262,FALSE,0.1939,2012.368852,2022.786301,10.41744891,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
51,marabnut,chla_n,0.037971662,0.009202098,0.019935882,0.056007442,4.126413782,5.64E-05,-74.81274345,0.119714318,0.13454924,FALSE,0.3558,0.144884707,TRUE,0.3558,2007.452055,2022.953425,15.50136986,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
52,marcenut,chla_n,0.036496502,0.010341362,0.016227806,0.056765198,3.529177647,0.000532238,-71.85215608,0.176093805,0.196258204,FALSE,0.4785,0.145682976,TRUE,0.4785,2007.452055,2022.953425,15.50136986,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
53,marcwnut,chla_n,0.032370743,0.010406468,0.01197444,0.052767046,3.110636841,0.002187081,-63.48775646,0.099834262,0.118373061,FALSE,0.4589,0.147737844,TRUE,0.4589,2007.534247,2022.953425,15.41917808,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
54,marmbnut,chla_n,0.032691624,0.009678776,0.013721571,0.051661677,3.377660921,0.000906009,-64.06295663,0.301985515,0.32474377,FALSE,0.2153,0.147319914,TRUE,0.2153,2008.038251,2022.953425,14.91517329,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
55,marscnut,chla_n,0.035501618,0.009578247,0.016728599,0.054274637,3.706483934,0.000279743,-70.19294164,0.067871063,0.075059673,FALSE,0.3003,0.145282196,TRUE,0.3003,2007.70411,2022.953425,15.24931507,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
56,narncnut,chla_n,0.061662242,0.007964445,0.046052216,0.077272267,7.742189367,1.03E-12,-123.5539201,0.495729255,0.515387999,FALSE,0.1581,0.151214504,TRUE,0.1581,2002.2,2022.953425,20.75342466,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
57,narpcnut,chla_n,0.032936967,0.007764476,0.017718873,0.04815506,4.242007551,3.45E-05,-65.34715179,0.291551272,0.318996738,FALSE,0.209,0.138590382,TRUE,0.209,2002.2,2022.953425,20.75342466,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
58,nartbnut,chla_n,0.032550697,0.007615417,0.017624754,0.04747664,4.274315839,3.01E-05,-64.89789178,0.200834711,0.225628454,FALSE,0.1994,0.138590382,TRUE,0.1994,2002.534247,2022.953425,20.41917808,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
59,nartsnut,chla_n,0.03394203,0.008072208,0.018120794,0.049763267,4.204801339,4.04E-05,-67.66407224,0.198363949,0.223264795,FALSE,0.3125,0.140355936,TRUE,0.3125,2002.534247,2022.953425,20.41917808,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
60,niwcbnut,chla_n,0.040250554,0.006015956,0.028459496,0.052041612,6.690632565,1.76E-10,-79.47321263,0.590754304,0.602025355,FALSE,0.0857,0.128956163,FALSE,0.0857,2002.284932,2022.953425,20.66849315,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
61,niwdcnut,chla_n,0.02935272,0.005831765,0.01792267,0.040782769,5.033248011,1.04E-06,-57.50573854,0.608771397,0.621011793,FALSE,0.0948,0.133051025,FALSE,0.0948,2002.284932,2022.953425,20.66849315,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
62,niwolnut,chla_n,0.03433812,0.005982747,0.022612151,0.046064088,5.739524004,3.07E-08,-67.34329259,0.651183243,0.662057004,FALSE,0.1728,0.12867794,TRUE,0.1728,2002.284932,2022.953425,20.66849315,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
63,niwtanut,chla_n,0.01981154,0.008096658,0.003942383,0.035680698,2.446878852,0.015190688,-37.78930952,0.343815973,0.358429257,FALSE,0.3002,0.130087379,TRUE,0.3002,2002.284932,2022.953425,20.66849315,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
64,nocecnut,chla_n,0.079537667,0.008130454,0.063602269,0.095473065,9.782683978,8.43E-19,-158.248603,0.440903458,0.457554443,FALSE,0.3717,0.134294519,TRUE,0.3717,2002.284932,2022.953425,20.66849315,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
65,noclcnut,chla_n,0.058274804,0.006969384,0.044615062,0.071934546,8.361542864,8.20E-15,-116.3751649,0.41231228,0.42583425,FALSE,0.2729,0.132745511,TRUE,0.2729,2002.284932,2022.953425,20.66849315,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
66,nocrcnut,chla_n,0.043746858,0.007652798,0.02874765,0.058746067,5.716452647,4.08E-08,-86.88929349,0.41784763,0.432828533,FALSE,0.3194,0.138938163,TRUE,0.3194,2004.535519,2022.953425,18.41790553,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
67,noczbnut,chla_n,0.087479208,0.008460581,0.070896774,0.104061642,10.33962185,2.35E-20,-173.8555902,0.51588089,0.531321631,FALSE,0.0221,0.135899051,FALSE,0.0221,2002.284932,2022.953425,20.66849315,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
68,owcbrnut,chla_n,-0.002382487,0.009756257,-0.0215044,0.016739426,-0.24420091,0.807333916,5.413285446,0.223964852,0.245288654,FALSE,0.2529,0.138590382,TRUE,0.2529,2002.2,2022.871233,20.67123288,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
69,owcdrnut,chla_n,0.052668304,0.02030347,0.012874234,0.092462374,2.594054298,0.010511726,-104.9368037,0.346780297,0.371339995,FALSE,0.2052,0.163330332,TRUE,0.2052,2007.619178,2022.953425,15.33424658,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
70,owcolnut,chla_n,0.060283145,0.0117383,0.037276498,0.083289791,5.135593921,6.92E-07,-119.0327215,0.409289577,0.425890267,FALSE,0.1884,0.139641652,TRUE,0.1884,2002.284932,2022.953425,20.66849315,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
71,owcwmnut,chla_n,0.049505154,0.011119495,0.027711345,0.071298964,4.452104525,1.44E-05,-97.2295181,0.374494095,0.391451083,FALSE,0.2043,0.138938163,TRUE,0.2043,2002.2,2022.953425,20.75342466,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
72,pdbbpnut,chla_n,0.017779708,0.005849515,0.006314869,0.029244548,3.039518141,0.002637394,-35.28911447,0.615338848,0.627514513,FALSE,0.1866,0.125473837,TRUE,0.1866,2002.123288,2022.953425,20.83013699,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
73,pdbbynut,chla_n,0.014626655,0.00552791,0.00379215,0.02546116,2.645964643,0.008701457,-28.96186999,0.721496961,0.731105984,FALSE,0.2622,0.125991257,TRUE,0.2622,2002.123288,2022.953425,20.83013699,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
74,pdbgsnut,chla_n,0.009906084,0.008067528,-0.00590598,0.025718148,1.227895886,0.220849103,-19.26383729,0.640462947,0.652336184,FALSE,0.2244,0.132140745,TRUE,0.2244,2003.284932,2022.953425,19.66849315,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
75,rkbfbnut,chla_n,0.018185835,0.006034015,0.006359383,0.030012287,3.013886344,0.002865383,-35.08828229,0.22256774,0.238206025,FALSE,0.0221,0.127045595,FALSE,0.0221,2002.123288,2022.953425,20.83013699,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
76,rkbfunut,chla_n,0.007656565,0.004685522,-0.00152689,0.01684002,1.634090032,0.103578235,-14.36704033,0.112302888,0.130391836,FALSE,0.1324,0.126252379,TRUE,0.1324,2002.038356,2022.953425,20.91506849,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
77,rkblhnut,chla_n,0.013544873,0.00666057,0.000490395,0.02659935,2.033590598,0.043134842,-25.8456805,0.203780659,0.219775265,FALSE,0.1527,0.127313342,TRUE,0.1527,2002.123288,2022.953425,20.83013699,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
78,rkbmbnut,chla_n,0.004988722,0.005682551,-0.006148873,0.016126318,0.877901835,0.380890323,-8.819350738,0.229065483,0.248570608,FALSE,0.14,0.125731748,TRUE,0.14,2002.038356,2022.953425,20.91506849,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
79,sapcanut,chla_n,-0.009957508,0.006002858,-0.021722894,0.001807878,-1.658794485,0.099082532,22.22465652,0.405343897,0.423740249,FALSE,0.0619,0.15076646,FALSE,0.0619,2004.704918,2022.953425,18.24850662,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
80,sapdcnut,chla_n,0.017421103,0.008971297,-0.000162316,0.035004523,1.941871128,0.053879038,-33.61979111,0.203861301,0.223917909,FALSE,0.215,0.151214504,TRUE,0.215,2004.704918,2022.953425,18.24850662,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
81,saphdnut,chla_n,0.01232142,0.005998302,0.000564963,0.024077877,2.05415121,0.04134498,-23.1637167,0.453807605,0.470699054,FALSE,0.3325,0.140355936,TRUE,0.3325,2002.284932,2022.953425,20.66849315,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
82,sapldnut,chla_n,0.010329419,0.004082382,0.002328097,0.018330741,2.530242926,0.012211572,-18.5456546,0.23550368,0.256597981,FALSE,0.2211,0.139997427,TRUE,0.2211,2002.284932,2022.953425,20.66849315,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
83,sfbccnut,chla_n,-0.001444614,0.016429256,-0.033645364,0.030756136,-0.087929344,0.93004418,4.738824252,-0.006279656,4.93E-05,FALSE,0.2399,0.154948758,TRUE,0.2399,2006.123288,2022.619178,16.49589041,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
84,sfbfmnut,chla_n,-0.054872099,0.01125962,-0.076940548,-0.032803651,-4.873352883,2.86E-06,112.0931038,0.518522737,0.543073945,FALSE,0.2594,0.158453697,TRUE,0.2594,2008.368852,2022.786301,14.41744891,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
85,sfbgcnut,chla_n,-0.005968596,0.014135984,-0.033674616,0.021737423,-0.422227166,0.673420707,13.64721935,0.071174557,0.090766742,FALSE,0.2231,0.152122708,TRUE,0.2231,2006.2,2022.786301,16.58630137,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
86,sfbsmnut,chla_n,-0.042420469,0.011994377,-0.065929017,-0.018911922,-3.536696313,0.000552544,86.8507968,0.440277049,0.468297343,FALSE,0.1802,0.162207774,TRUE,0.1802,2008.368852,2022.786301,14.41744891,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
