station,Reserve,lon,lat,name
CBVSH,CBV,-76.88424000000,37.57138000000,Pamunkey
CBVSP,CBV,-76.88399000000,37.57139800000,Pamunkey
CBMIP,CBM,-76.72080000000,38.79600000000,Patuxent
CBMJB,CBM,-76.70770000000,38.77920000000,Patuxent
CBMMC,CBM,-76.70740000000,38.74330000000,Patuxent
CBMPR,CBM,-76.70910000000,38.77320000000,Patuxent
CBMRR,CBM,-76.71370000000,38.78130000000,Patuxent
GRBGB,GRB,-70.86940000000,43.07220000000,Piscataqua-Salmon Falls
GRBLR,GRB,-70.93440000000,43.08000000000,Piscataqua-Salmon Falls
GRBOR,GRB,-70.91100000000,43.13400000000,Piscataqua-Salmon Falls
GRBSQ,GRB,-70.91181100000,43.05240300000,Piscataqua-Salmon Falls
WELDN,WEL,-70.56030000000,43.32890000000,Piscataqua-Salmon Falls
WELHT,WEL,-70.58709400000,43.29834700000,Piscataqua-Salmon Falls
WELIN,WEL,-70.56344200000,43.32008900000,Piscataqua-Salmon Falls
WELLM,WEL,-70.54060300000,43.34015300000,Piscataqua-Salmon Falls
WELML,WEL,-70.57640000000,43.30500000000,Piscataqua-Salmon Falls
WELSM,WEL,-70.54921700000,43.34471100000,Piscataqua-Salmon Falls
WELUP,WEL,-70.55720000000,43.33060000000,Piscataqua-Salmon Falls
ACEMC,ACE,-80.43800000000,32.55580000000,Salkehatchie
ACERC,ACE,-80.50360000000,32.54850000000,Salkehatchie
TJRPE,TJR,-117.11624000000,32.60098000000,San Diego
TJRPR,TJR,-117.11819440000,32.59608330000,San Diego
TJRSB,TJR,-117.11583330000,32.60100000000,San Diego
SFBCC,SFB,-122.46040000000,38.00120000000,San Pablo Bay
SFBGC,SFB,-122.50850000000,38.01590000000,San Pablo Bay
SFBRB,SFB,-122.48756300000,37.87668900000,San Pablo Bay
MARSC,MAR,-97.05030000000,27.83830000000,South Corpus Christi Bay
JOB06,JOB,-66.22793300000,17.93498600000,Southern Puerto Rico
JOB09,JOB,-66.23858330000,17.94305560000,Southern Puerto Rico
JOB10,JOB,-66.25773600000,17.93861100000,Southern Puerto Rico
JOB11,JOB,-66.26202800000,17.94460800000,Southern Puerto Rico
JOB18,JOB,-66.23188100000,17.94443300000,Southern Puerto Rico
JOB19,JOB,-66.22882500000,17.94291400000,Southern Puerto Rico
JOB20,JOB,-66.21147200000,17.93031700000,Southern Puerto Rico
LKSOL,LKS,-92.20166000000,46.65685000000,St. Louis
LKSPO,LKS,-92.13561400000,46.67236000000,St. Louis
LKSBA,LKS,-92.06352000000,46.72177200000,St. Louis
LKSBL,LKS,-92.10027000000,46.74864900000,St. Louis
PDBBP,PDB,-122.53089400000,48.55632200000,Strait of Georgia
PDBBY,PDB,-122.50211400000,48.49613900000,Strait of Georgia
PDBGD,PDB,-122.57250000000,48.55750000000,Strait of Georgia
PDBGS,PDB,-122.57250000000,48.55750000000,Strait of Georgia
PDBJE,PDB,-122.47492800000,48.51891400000,Strait of Georgia
PDBJL,PDB,-122.47418900000,48.51826400000,Strait of Georgia
PDBJT,PDB,-122.47418560000,48.51817008000,Strait of Georgia
PDBNN,PDB,-122.46740000000,48.46950000000,Strait of Georgia
SFBFM,SFB,-122.03280000000,38.19490000000,Suisun Bay
SFBSM,SFB,-122.01360000000,38.18410000000,Suisun Bay
CBMMB,CBM,-75.80458300000,38.20855000000,Tangier
NIWCA,NIW,-79.16670000000,33.45000000000,Waccamaw
CBVCB,CBV,-76.61126300000,37.34666500000,York
CBVTC,CBV,-76.71442000000,37.41498600000,York
