gridcode,name,FREQUENCY,SUM_Shape_Area
21,East River-Apalachicola River,1181,4600162.134
21,Elkhorn Slough,4331,17638157.62
21,Fallsburg Creek-Hudson River,1803,6029567.056
21,Furnace Brook-Hudson River,2791,12392280.37
21,Great Bay,1204,4449618.979
21,Great Bay-Frontal Atlantic Ocean,479,1820370.108
21,Henderson Creek-Barron River Frontal,1050,5635817.084
21,Hope Creek-Edisto River,132,1325966.968
21,Hyannis Harbor-Frontal Nantucket Sound,17183,56953167.21
21,Joe Leary Slough-Frontal Padilla Bay,1273,3667920.009
21,Jones Creek-York River,1119,5234448.395
21,Lakes Kill-Saw Kill,1468,3740906.937
21,Lamprey River,1123,3582951.581
21,Lower Ashepoo River,169,1061256.006
21,Lower Cooper River,3228,11885860.49
21,Lower Fish River,3585,13102406.57
21,Lower Mullica River,586,1983736.697
21,Lower Saint Jones River,1329,6935926.382
21,Magnolia River,2211,9033667.355
21,Masonboro Inlet-Mason Inlet,4931,23496190.99
21,Mataponi Creek-Patuxent River,1655,5888875.616
21,Middle Mullica River,1720,6960716.125
21,Mill Creek-Hudson River,833,1718396.013
21,Mill Creek-Pamunkey River,875,4581473.511
21,Monie Bay,389,1687377.914
21,Mudder Kill-Hudson River,1442,3994028.957
21,Nacote Creek,2322,7627393.213
21,Novato Creek-Frontal San Pablo Bay Estuaries,1555,5154658.01
21,Old Woman Creek,1094,2762423.767
21,Outlet Waccamaw River-Atlantic Intracoastal Waterway,1318,11206716.72
21,Oyster River,1602,7687863.638
21,Padilla Bay-Strait of Georgia,48,57477.58098
21,Pellicer Creek,391,941627.2797
21,Pellicer Creek-Big Mulberry Branch Frontal,2824,11219268.99
21,Pokegama River,438,1700650.841
21,Poquoson River-Frontal Chesapeake Bay,3217,19747249.2
21,Pt Aux Chenes Bay-Mississippi Sound,17,31921.875
21,Richardson Bay-San Francisco Bay,197,282336.0947
21,Rooker Bay,899,2228112.515
21,Saint Louis River,2315,10659482.29
21,San Antonio Bay-Espiritu Santo Bay,1690,5957636.05
21,San Diego Bay,1378,6293506.799
21,San Pablo Bay,8,6592.29126
21,Sarah Creek-York River,1077,7936643.848
21,Skimino Creek-York River,1345,6587741.547
21,South Edisto River-Atlantic Intracoastal Waterway,297,1014891.394
21,Spirit Lake-Saint Louis River,2352,7942557.225
21,Squamscott River,1520,4639964.131
21,St. George Sound,924,3045687.534
21,Stevens Brook-Frontal Atlantic Ocean,3061,10869080.31
21,Stony Creek,1137,1972396.376
21,Store Creek,682,4547186.938
21,Suisun Bay Estuaries,1434,5056546.541
21,Swan Lake-Copano Bay,25,32733.98438
21,Tijuana River-Frontal Pacific Ocean,939,2649802.705
21,Tolomato River-Moses Creek Frontal,1612,6395650.159
21,Town of Southport-Cape Fear River,881,3328861.377
21,Tuckerton Creek-Little Egg Harbor,1221,5624431.76
21,Upper East Passage,1053,4361159.097
21,Upper Saint Jones River,2713,13340717.11
21,Upper Tolomato River,3189,11347222.58
21,Upper West Passage,368,1587306.322
21,Winchester Creek,663,2707761.685
21,Winyah Bay,753,6513071.374
22,Apalachicola Bay,862,7087140.884
22,Aransas Bay,4864,18457179.1
22,Bayou Casotte-Pt Aux Chenes Bay,1171,7536630.35
22,Bayou Heron-Grand Bay Swamp,223,471322.7051
22,Blackbird Creek-Frontal Delaware River,931,1773460.19
22,Branch Brook-Merriland River,1174,3106554.593
22,Bush River,2022,7552679.068
22,Cape Saint George Shoal-Gulf of Mexico,6,5400
22,Carter Creek-York River,1784,5143053.351
22,Chappel Creek,824,1457895.616
22,Charles Branch-Western Branch Patuxent River,2802,12629338.66
22,Coos Bay,1829,9085050.184
22,Corpus Christi Bay,1497,2908750.836
22,Dawho River-North Edisto River,407,635119.8486
22,Debidue Creek,540,1903739.612
22,Doboy Sound-Frontal Atlantic Ocean,633,1723394.971
22,East River-Apalachicola River,1055,3011913.885
22,Elkhorn Slough,3928,11842853.35
22,Fallsburg Creek-Hudson River,2090,4546204.074
22,Furnace Brook-Hudson River,3999,10358866.57
22,Great Bay,1343,4768411.555
22,Great Bay-Frontal Atlantic Ocean,593,2706841.022
22,Henderson Creek-Barron River Frontal,1603,6899780.457
22,Hope Creek-Edisto River,97,193716.8152
22,Hyannis Harbor-Frontal Nantucket Sound,21632,113208171
22,Joe Leary Slough-Frontal Padilla Bay,2105,7344168.115
22,Jones Creek-York River,601,1037685.608
22,Lakes Kill-Saw Kill,1480,3889513.065
22,Lamprey River,957,2553286.816
22,Lower Ashepoo River,187,322956.7932
22,Lower Cooper River,3543,26284884.25
22,Lower Fish River,2444,7774303.656
22,Lower Mullica River,396,1030863.757
22,Lower Saint Jones River,1604,6007017.81
22,Magnolia River,1450,4491760.941
22,Masonboro Inlet-Mason Inlet,4142,31668502.56
22,Mataponi Creek-Patuxent River,670,1608608.606
22,Middle Mullica River,1303,4607486.609
22,Mill Creek-Hudson River,1055,2767403.128
22,Mill Creek-Pamunkey River,625,1739908.411
22,Monie Bay,256,437858.5968
22,Mudder Kill-Hudson River,1386,4073617.351
22,Nacote Creek,1913,6784127.353
22,Novato Creek-Frontal San Pablo Bay Estuaries,3160,10300205.03
22,Old Woman Creek,912,2019378.351
22,Outlet Waccamaw River-Atlantic Intracoastal Waterway,1288,5420163.757
22,Oyster River,1837,5406896.571
22,Padilla Bay-Strait of Georgia,114,398594.8999
22,Pellicer Creek,437,1729988.498
22,Pellicer Creek-Big Mulberry Branch Frontal,3032,20495185.84
22,Pokegama River,420,1195757.206
22,Poquoson River-Frontal Chesapeake Bay,2940,13132366.01
22,Pt Aux Chenes Bay-Mississippi Sound,17,5010904.715
22,Richardson Bay-San Francisco Bay,274,414036.5699
22,Rooker Bay,2220,8544232.672
22,Saint Louis River,4025,14304972.92
22,San Antonio Bay-Espiritu Santo Bay,1787,5389157.098
22,San Diego Bay,3844,11734278.6
22,San Pablo Bay,25,48451.24512
22,Sarah Creek-York River,1203,3639131.021
22,Skimino Creek-York River,609,1446651.92
22,South Edisto River-Atlantic Intracoastal Waterway,354,2102262.122
22,Spirit Lake-Saint Louis River,2555,7625382.056
22,Squamscott River,1545,5409096.474
22,St. George Sound,1388,5949407.401
22,Stevens Brook-Frontal Atlantic Ocean,3670,10290925.04
22,Stony Creek,1004,2408602.986
22,Store Creek,474,643643.6462
22,Suisun Bay Estuaries,2146,6100872.404
22,Swan Lake-Copano Bay,61,80054.29687
22,Tijuana River-Frontal Pacific Ocean,1733,4487847.411
22,Tolomato River-Moses Creek Frontal,1748,14435300.67
22,Town of Southport-Cape Fear River,861,3177123.239
22,Tuckerton Creek-Little Egg Harbor,1304,6267184.497
22,Upper East Passage,2099,5055760.423
22,Upper Saint Jones River,3245,10576503.89
22,Upper Tolomato River,3196,11541197.85
22,Upper West Passage,626,2310969.795
22,Winchester Creek,371,1780063.263
22,Winyah Bay,734,2084481.464
23,<Null>,1,615.72876
23,Apalachicola Bay,906,3671161.688
23,Aransas Bay,4061,17631691.95
23,Bayou Casotte-Pt Aux Chenes Bay,1272,8315295.859
23,Bayou Heron-Grand Bay Swamp,86,186445.8984
23,Blackbird Creek-Frontal Delaware River,363,1177514.676
23,Branch Brook-Merriland River,671,1707929.819
23,Bush River,1391,5019889.966
23,Cape Saint George Shoal-Gulf of Mexico,78,90715.12756
23,Carter Creek-York River,806,3085780.106
23,Chappel Creek,273,586981.398
23,Charles Branch-Western Branch Patuxent River,1677,6999681.802
23,Coos Bay,1406,8914405.287
23,Corpus Christi Bay,1482,6278823.248
23,Dawho River-North Edisto River,151,235394.989
23,Debidue Creek,347,829031.1218
23,Doboy Sound-Frontal Atlantic Ocean,220,467919.4977
23,East River-Apalachicola River,674,1481406.509
23,Elkhorn Slough,1602,5683732.956
23,Fallsburg Creek-Hudson River,1132,3718060.071
23,Furnace Brook-Hudson River,2318,12767065.8
23,Great Bay,1004,2526506.227
23,Great Bay-Frontal Atlantic Ocean,485,3750882.111
23,Henderson Creek-Barron River Frontal,1324,7495223.264
23,Hope Creek-Edisto River,29,40222.26563
23,Hyannis Harbor-Frontal Nantucket Sound,16091,88401476.18
23,Joe Leary Slough-Frontal Padilla Bay,1606,5517390.542
23,Jones Creek-York River,258,649038.208
23,Lakes Kill-Saw Kill,685,1722858.563
23,Lamprey River,478,1198312.509
23,Lower Ashepoo River,91,120794.6777
23,Lower Cooper River,3721,19902396.31
23,Lower Fish River,1251,3698931.281
23,Lower Mullica River,188,689197.3846
23,Lower Saint Jones River,1030,4056662.109
23,Magnolia River,821,1864235.77
23,Masonboro Inlet-Mason Inlet,3242,14702249.24
23,Mataponi Creek-Patuxent River,191,334397.5159
23,Middle Mullica River,551,1416924.454
23,Mill Creek-Hudson River,704,1380829.614
23,Mill Creek-Pamunkey River,350,1086106.036
23,Monie Bay,83,92181.61011
23,Mudder Kill-Hudson River,782,2048094.292
23,Nacote Creek,816,3028664.053
23,Novato Creek-Frontal San Pablo Bay Estuaries,2630,14877093.68
23,Old Woman Creek,374,740223.8525
23,Outlet Waccamaw River-Atlantic Intracoastal Waterway,726,1656908.844
23,Oyster River,1053,3460153.285
23,Padilla Bay-Strait of Georgia,262,520151.0181
23,Pellicer Creek,277,583943.7744
23,Pellicer Creek-Big Mulberry Branch Frontal,2674,12694808.03
23,Pokegama River,241,544298.9296
23,Poquoson River-Frontal Chesapeake Bay,1419,6822972.51
23,Pt Aux Chenes Bay-Mississippi Sound,52,229301.8066
23,Richardson Bay-San Francisco Bay,655,928111.0388
23,Rooker Bay,1471,14761264.72
23,Saint Louis River,3299,22119355.94
23,San Antonio Bay-Espiritu Santo Bay,1098,3371091.724
23,San Diego Bay,3020,58346986.99
23,San Pablo Bay,51,75686.29761
23,Sarah Creek-York River,564,1745095.303
23,Skimino Creek-York River,228,703696.5912
23,South Edisto River-Atlantic Intracoastal Waterway,302,1050682.983
23,Spirit Lake-Saint Louis River,1415,6332035.137
23,Squamscott River,1152,3617354.086
23,St. George Sound,1432,3915430.746
23,Stevens Brook-Frontal Atlantic Ocean,2303,9314718.407
23,Stony Creek,490,749025.0961
23,Store Creek,97,128246.4844
23,Suisun Bay Estuaries,1532,5994123.926
23,Swan Lake-Copano Bay,74,90474.60937
23,Tijuana River-Frontal Pacific Ocean,1175,17258911.55
23,Tolomato River-Moses Creek Frontal,1559,8316229.752
23,Town of Southport-Cape Fear River,622,2149697.269
23,Tuckerton Creek-Little Egg Harbor,1064,4729352.591
23,Upper East Passage,1214,8122590.72
23,Upper Saint Jones River,1981,9444708.627
23,Upper Tolomato River,2046,7923957.55
23,Upper West Passage,662,2210585.806
23,Winchester Creek,191,473227.4889
23,Winyah Bay,368,917142.627
24,Apalachicola Bay,307,729964.5996
24,Aransas Bay,1741,6558914.108
24,Bayou Casotte-Pt Aux Chenes Bay,628,4420698.376
24,Bayou Heron-Grand Bay Swamp,4,5400
24,Blackbird Creek-Frontal Delaware River,73,117881.6528
24,Branch Brook-Merriland River,90,834050.0061
24,Bush River,382,2054623.837
24,Cape Saint George Shoal-Gulf of Mexico,63,156409.8267
24,Carter Creek-York River,254,883159.0851
24,Chappel Creek,58,107225.9033
24,Charles Branch-Western Branch Patuxent River,431,1903834.094
24,Coos Bay,607,4026676.216
24,Corpus Christi Bay,950,3168721.609
24,Dawho River-North Edisto River,26,68348.91358
24,Debidue Creek,49,67187.65869
24,Doboy Sound-Frontal Atlantic Ocean,41,102328.9673
24,East River-Apalachicola River,191,412151.1108
24,Elkhorn Slough,368,1581311.633
24,Fallsburg Creek-Hudson River,254,1055339.374
24,Furnace Brook-Hudson River,791,5632181.9
24,Great Bay,195,1856901.064
24,Great Bay-Frontal Atlantic Ocean,196,2234436.108
24,Henderson Creek-Barron River Frontal,546,2444710.941
24,Hope Creek-Edisto River,2,1515.234375
24,Hyannis Harbor-Frontal Nantucket Sound,3242,16783033.1
24,Joe Leary Slough-Frontal Padilla Bay,465,2412494.509
24,Jones Creek-York River,101,142767.7185
24,Lakes Kill-Saw Kill,118,252497.4884
24,Lamprey River,66,228425.7156
24,Lower Ashepoo River,9,7776.5625
24,Lower Cooper River,1685,13437362.44
24,Lower Fish River,219,789788.2874
24,Lower Mullica River,59,244947.9858
24,Lower Saint Jones River,359,1522150.818
24,Magnolia River,115,334343.985
24,Masonboro Inlet-Mason Inlet,992,4443878.842
24,Mataponi Creek-Patuxent River,22,106568.5913
24,Middle Mullica River,97,528806.7169
24,Mill Creek-Hudson River,95,264624.1837
24,Mill Creek-Pamunkey River,115,657071.3287
24,Monie Bay,6,5401.922607
24,Mudder Kill-Hudson River,168,407829.7485
24,Nacote Creek,174,663718.7714
24,Novato Creek-Frontal San Pablo Bay Estuaries,933,10304303.49
24,Old Woman Creek,97,208986.5616
24,Outlet Waccamaw River-Atlantic Intracoastal Waterway,121,196237.9578
24,Oyster River,252,1006765.15
24,Padilla Bay-Strait of Georgia,123,338033.2206
24,Pellicer Creek,91,164970.7031
24,Pellicer Creek-Big Mulberry Branch Frontal,809,1859817.398
24,Pokegama River,41,140081.5269
24,Poquoson River-Frontal Chesapeake Bay,465,1555658.542
24,Pt Aux Chenes Bay-Mississippi Sound,27,62438.43384
24,Richardson Bay-San Francisco Bay,440,1360354.478
24,Rooker Bay,1596,3272002.322
24,Saint Louis River,1344,16182921.37
24,San Antonio Bay-Espiritu Santo Bay,282,857232.5317
24,San Diego Bay,2545,41681583.76
24,San Pablo Bay,20,63859.48105
24,Sarah Creek-York River,214,439894.6106
24,Skimino Creek-York River,57,269990.0299
24,South Edisto River-Atlantic Intracoastal Waterway,91,120607.5806
24,Spirit Lake-Saint Louis River,478,2161554.943
24,Squamscott River,224,1328128.802
24,St. George Sound,603,2099679.785
24,Stevens Brook-Frontal Atlantic Ocean,689,2910559.515
24,Stony Creek,64,94731.83899
24,Store Creek,21,20991.79688
24,Suisun Bay Estuaries,532,4500616.395
24,Swan Lake-Copano Bay,21,22753.125
24,Tijuana River-Frontal Pacific Ocean,1035,8418409.621
24,Tolomato River-Moses Creek Frontal,483,1341982.315
24,Town of Southport-Cape Fear River,189,726231.0333
24,Tuckerton Creek-Little Egg Harbor,280,3850451.23
24,Upper East Passage,681,2775836.879
24,Upper Saint Jones River,610,4216453.693
24,Upper Tolomato River,431,944029.9622
24,Upper West Passage,184,2837481.715
24,Winchester Creek,49,305374.3874
24,Winyah Bay,116,236825.7385
31,<Null>,1,615.686703
31,Apalachicola Bay,619,8219133.325
31,Aransas Bay,2412,14348313.83
31,Bayou Casotte-Pt Aux Chenes Bay,202,2623700.967
31,Bayou Heron-Grand Bay Swamp,10,37067.45911
31,Blackbird Creek-Frontal Delaware River,12,27319.92188
31,Branch Brook-Merriland River,100,593751.8188
31,Bush River,40,94074.52698
31,Cape Saint George Shoal-Gulf of Mexico,37,82515.01465
31,Carter Creek-York River,38,69836.13281
31,Chappel Creek,5,7200
31,Charles Branch-Western Branch Patuxent River,90,890475.238
31,Coos Bay,515,3459231.679
31,Corpus Christi Bay,977,7276721.429
31,Dawho River-North Edisto River,127,1235995.093
31,Debidue Creek,89,755959.8999
31,Doboy Sound-Frontal Atlantic Ocean,181,2393525.5
31,East River-Apalachicola River,406,1098195.502
31,Elkhorn Slough,48,441587.3411
31,Fallsburg Creek-Hudson River,147,223157.8674
31,Furnace Brook-Hudson River,169,947116.7358
31,Great Bay,59,162888.8763
31,Great Bay-Frontal Atlantic Ocean,140,1568730.46
31,Henderson Creek-Barron River Frontal,61,168018.9697
31,Hope Creek-Edisto River,3,9000
31,Hyannis Harbor-Frontal Nantucket Sound,2172,20466312.96
31,Joe Leary Slough-Frontal Padilla Bay,30,162153.3915
31,Jones Creek-York River,8,8068.359375
31,Lakes Kill-Saw Kill,21,52519.07043
31,Lamprey River,62,333340.6448
31,Lower Ashepoo River,58,215800.1038
31,Lower Cooper River,513,4556189.74
31,Lower Fish River,169,1194958.521
31,Lower Mullica River,34,110100.1465
31,Lower Saint Jones River,61,363946.4813
31,Magnolia River,100,594194.101
31,Masonboro Inlet-Mason Inlet,293,2192140.75
31,Mataponi Creek-Patuxent River,125,518716.7908
31,Middle Mullica River,20,66912.89063
31,Mill Creek-Hudson River,30,98009.29413
31,Mill Creek-Pamunkey River,46,232262.1826
31,Monie Bay,42,47770.3125
31,Mudder Kill-Hudson River,194,940259.1248
31,Nacote Creek,21,63028.61938
31,Novato Creek-Frontal San Pablo Bay Estuaries,285,1114408.571
31,Old Woman Creek,34,111448.8281
31,Outlet Waccamaw River-Atlantic Intracoastal Waterway,55,207934.6619
31,Oyster River,129,674847.0154
31,Padilla Bay-Strait of Georgia,1264,2546833.697
31,Pellicer Creek,77,243511.0565
31,Pellicer Creek-Big Mulberry Branch Frontal,501,2011339.819
31,Pokegama River,61,224785.3477
31,Poquoson River-Frontal Chesapeake Bay,139,190829.7455
31,Pt Aux Chenes Bay-Mississippi Sound,45,1236734.5
31,Richardson Bay-San Francisco Bay,48,53104.39453
31,Rooker Bay,278,1850556.473
31,Saint Louis River,296,734110.7094
31,San Antonio Bay-Espiritu Santo Bay,1601,10945536.38
31,San Diego Bay,123,732517.1768
31,San Pablo Bay,6,5400
31,Sarah Creek-York River,87,118251.5625
31,Skimino Creek-York River,28,272894.9524
31,South Edisto River-Atlantic Intracoastal Waterway,166,816903.5889
31,Spirit Lake-Saint Louis River,142,523345.4475
31,Squamscott River,102,224696.1731
31,St. George Sound,978,12735150.05
31,Stevens Brook-Frontal Atlantic Ocean,332,992912.1735
31,Stony Creek,11,14653.125
31,Store Creek,27,107944.2444
31,Suisun Bay Estuaries,208,935963.213
31,Swan Lake-Copano Bay,100,130263.1897
31,Tijuana River-Frontal Pacific Ocean,89,501968.6897
31,Tolomato River-Moses Creek Frontal,153,1365160.831
31,Town of Southport-Cape Fear River,225,2943080.997
31,Tuckerton Creek-Little Egg Harbor,98,927409.2957
31,Upper East Passage,129,400217.569
31,Upper Saint Jones River,29,108245.3247
31,Upper Tolomato River,135,348867.9932
31,Upper West Passage,98,331069.2764
31,Winchester Creek,135,315080.2598
31,Winyah Bay,169,2042936.389
41,Apalachicola Bay,3,5400
41,Aransas Bay,1096,22308614.62
41,Bayou Casotte-Pt Aux Chenes Bay,6,4830.46875
41,Bayou Heron-Grand Bay Swamp,9,10067.51404
41,Blackbird Creek-Frontal Delaware River,792,11642431.75
41,Branch Brook-Merriland River,621,5448013.069
41,Bush River,653,15284956.92
41,Carter Creek-York River,1008,6604511.27
41,Chappel Creek,292,15381157.46
41,Charles Branch-Western Branch Patuxent River,1040,55081894.73
41,Coos Bay,655,1214739.681
41,Corpus Christi Bay,8,117836.4166
41,Dawho River-North Edisto River,85,163699.4202
41,Debidue Creek,2,6300
41,Doboy Sound-Frontal Atlantic Ocean,53,153508.5846
41,Elkhorn Slough,1,900
41,Fallsburg Creek-Hudson River,765,48452783.18
41,Furnace Brook-Hudson River,1039,49611506.84
41,Great Bay,768,8127755.722
41,Great Bay-Frontal Atlantic Ocean,142,1041284.18
41,Hope Creek-Edisto River,33,89119.55566
41,Hyannis Harbor-Frontal Nantucket Sound,2573,14575587.66
41,Joe Leary Slough-Frontal Padilla Bay,239,1165192.752
41,Jones Creek-York River,506,2055554.269
41,Lakes Kill-Saw Kill,689,28667579.32
41,Lamprey River,750,6823228.162
41,Lower Ashepoo River,199,644377.8625
41,Lower Cooper River,80,438844.8669
41,Lower Fish River,14,14717.9718
41,Lower Mullica River,305,1798705.728
41,Lower Saint Jones River,106,700864.3707
41,Magnolia River,8,13601.95313
41,Masonboro Inlet-Mason Inlet,2,1515.234375
41,Mataponi Creek-Patuxent River,1034,28779374.32
41,Middle Mullica River,828,10396407.95
41,Mill Creek-Hudson River,595,20501436.54
41,Mill Creek-Pamunkey River,778,3554004.886
41,Monie Bay,43,100330.2246
41,Mudder Kill-Hudson River,552,33995870.49
41,Nacote Creek,914,10388479.15
41,Novato Creek-Frontal San Pablo Bay Estuaries,15,41731.34766
41,Old Woman Creek,327,12777932.24
41,Outlet Waccamaw River-Atlantic Intracoastal Waterway,34,65579.80957
41,Oyster River,1125,8793570.863
41,Padilla Bay-Strait of Georgia,22,26100
41,Pellicer Creek,394,1065149.89
41,Pellicer Creek-Big Mulberry Branch Frontal,229,296918.3167
41,Pokegama River,1016,13668105.06
41,Poquoson River-Frontal Chesapeake Bay,369,852717.2882
41,Rooker Bay,1,900
41,Saint Louis River,608,15560452.41
41,San Antonio Bay-Espiritu Santo Bay,77,275297.9919
41,Sarah Creek-York River,179,397597.9889
41,Skimino Creek-York River,777,3054118.112
41,South Edisto River-Atlantic Intracoastal Waterway,26,97912.8479
41,Spirit Lake-Saint Louis River,1478,34851488.29
41,Squamscott River,630,8054750.212
41,St. George Sound,2,1800
41,Stevens Brook-Frontal Atlantic Ocean,1394,12687188.9
41,Stony Creek,567,19351420.85
41,Store Creek,30,93535.34546
41,Suisun Bay Estuaries,4,11226.0498
41,Swan Lake-Copano Bay,2,4500
41,Tolomato River-Moses Creek Frontal,397,1725470.013
41,Town of Southport-Cape Fear River,1,615.234375
41,Tuckerton Creek-Little Egg Harbor,529,5391800.848
41,Upper East Passage,374,2295617.143
41,Upper Saint Jones River,679,7378847.809
41,Upper Tolomato River,172,290731.6406
41,Upper West Passage,245,9242463.771
41,Winchester Creek,184,207745.9867
41,Winyah Bay,35,54839.63013
42,Apalachicola Bay,1415,11576753.28
42,Aransas Bay,148,631614.3585
42,Bayou Casotte-Pt Aux Chenes Bay,207,4496281.1
42,Bayou Heron-Grand Bay Swamp,392,4947819.379
42,Blackbird Creek-Frontal Delaware River,13,346266.2933
42,Branch Brook-Merriland River,912,8615541.948
42,Bush River,8,25175.77515
42,Carter Creek-York River,1262,11929032.53
42,Chappel Creek,5,13194.14063
42,Charles Branch-Western Branch Patuxent River,37,166540.7867
42,Coos Bay,1220,47054148.78
42,Corpus Christi Bay,2,3680.859375
42,Dawho River-North Edisto River,873,17277418.21
42,Debidue Creek,398,10047790.17
42,Doboy Sound-Frontal Atlantic Ocean,1118,52051987.46
42,East River-Apalachicola River,384,3723183.957
42,Elkhorn Slough,1126,30201264.56
42,Fallsburg Creek-Hudson River,182,673691.3635
42,Furnace Brook-Hudson River,109,154874.295
42,Great Bay,666,7673960.152
42,Great Bay-Frontal Atlantic Ocean,78,580063.4583
42,Henderson Creek-Barron River Frontal,55,277780.6549
42,Hope Creek-Edisto River,240,12921204.25
42,Hyannis Harbor-Frontal Nantucket Sound,8479,77681331.44
42,Joe Leary Slough-Frontal Padilla Bay,176,1265781.812
42,Jones Creek-York River,914,9230859.476
42,Lakes Kill-Saw Kill,179,975156.3171
42,Lamprey River,825,9257131.055
42,Lower Ashepoo River,631,14225486.57
42,Lower Cooper River,941,5402443.799
42,Lower Fish River,1406,18830301.39
42,Lower Mullica River,229,2396871.936
42,Lower Saint Jones River,11,98982.42187
42,Magnolia River,874,10157230.32
42,Masonboro Inlet-Mason Inlet,1512,11293940.59
42,Mataponi Creek-Patuxent River,106,554185.1349
42,Middle Mullica River,1100,14632727.15
42,Mill Creek-Hudson River,307,2845851.141
42,Mill Creek-Pamunkey River,1130,17804992.35
