KeepOrDiscard,comments,f,flag,code,n,beyond_hold_time,suspect,rejected,missing,algae_bloom,below_detection,above_detection
discard,,<4>  D - H,<4>, D - H,29,1,0,1,0,0,0,0
discard,,<4>  D - H - P,<4>, D - H - P,43,1,0,1,0,0,0,0
discard,,<4>  D - K,<4>, D - K,17,0,0,1,0,0,0,0
discard,,<4>  D - N,<4>, D - N,1,0,0,1,0,0,0,0
discard,,<4>  D - S,<4>, D - S,5,0,1,1,0,0,0,0
discard,,<4>  H,<4>, H,1966,1,0,0,0,0,0,0
discard,,<4>  H - A,<4>, H - A,5,1,0,0,0,0,0,1
discard,,<4>  H - A - B,<4>, H - A - B,6,1,0,0,0,0,1,1
discard,,<4>  H - B,<4>, H - B,62,1,0,0,0,0,1,0
discard,,<4>  H - B - P,<4>, H - B - P,2,1,0,0,0,0,1,0
discard,,<4>  H - K,<4>, H - K,8,1,0,0,0,0,0,0
discard,,<4>  H - M,<4>, H - M,16,1,0,0,1,0,0,0
discard,,<4>  H - P,<4>, H - P,338,1,0,0,0,0,0,0
discard,,<4>  H - P - B,<4>, H - P - B,4,1,0,0,0,0,1,0
discard,,<4>  H - S,<4>, H - S,1,1,1,0,0,0,0,0
discard,,<4>  H.P,<4>, H.P,6,1,0,0,0,0,0,0
keep,K = see metadata,<4>  K,<4>, K,395,0,0,0,0,0,0,0
discard,,<4>  K - D,<4>, K - D,8,0,0,1,0,0,0,0
discard,,<4>  K - H,<4>, K - H,40,1,0,0,0,0,0,0
keep,,<4>  K - P,<4>, K - P,10,0,0,0,0,0,0,0
discard,M = missing,<4>  M,<4>, M,735,0,0,0,1,0,0,0
discard,M = missing,<4>  M - K,<4>, M - K,154,0,0,0,1,0,0,0
discard,M = missing,<4>  M - P,<4>, M - P,25,0,0,0,1,0,0,0
discard,N = negative value; though keep because adjusted to detection limit anyway; Melissa recomends excluding,<4>  N - B,<4>, N - B,1,0,0,0,0,0,1,0
keep,,<4>  P,<4>, P,3195,0,0,0,0,0,0,0
keep,,<4>  P - B,<4>, P - B,8,0,0,0,0,0,1,0
keep,,<4>  P - K,<4>, P - K,1,0,0,0,0,0,0,0
discard,,<4>  P - S,<4>, P - S,17,0,1,0,0,0,0,0
discard,,<4>  P - S - H - K,<4>, P - S - H - K,29,1,1,0,0,0,0,0
discard,,<4>  S,<4>, S,147,0,1,0,0,0,0,0
discard,,<4>  S - H - K,<4>, S - H - K,1,1,1,0,0,0,0,0
discard,,<4>  S - K,<4>, S - K,31,0,1,0,0,0,0,0
discard,,<4>  S - P,<4>, S - P,32,0,1,0,0,0,0,0
keep,,<4>,<4>,NA,30037,0,0,0,0,0,0,0
keep,,<-4> [SBL],<-4>,[SBL],14712,0,0,0,0,0,1,0
keep,,<-4> [SBL] (CAB),<-4>,[SBL] (CAB),4,0,0,0,0,1,1,0
discard,CHB overrules SBL,<-4> [SBL] (CHB),<-4>,[SBL] (CHB),2329,1,0,0,0,0,1,0
keep,CIF = flotsam present in vicinity,<-4> [SBL] (CIF),<-4>,[SBL] (CIF),4,0,0,0,0,0,1,0
keep,CLE = sample collected earlier/later than scheduled,<-4> [SBL] (CLE),<-4>,[SBL] (CLE),3,0,0,0,0,0,1,0
keep,CRE = significant weather event,<-4> [SBL] (CRE),<-4>,[SBL] (CRE),5,0,0,0,0,0,1,0
keep,CSM = see metadata,<-4> [SBL] (CSM),<-4>,[SBL] (CSM),193,0,0,0,0,0,1,0
keep,CUS = lab analysis from unpreserved sample,<-4> [SBL] (CUS),<-4>,[SBL] (CUS),22,0,0,0,0,0,1,0
discard,CHB overrules SBL,<-4> [SBL] [CHB],<-4>,[SBL] [CHB],2,1,0,0,0,0,1,0
keep,SRD = replicats differ substantially,<-4> [SBL] [SRD],<-4>,[SBL] [SRD],1,0,0,0,0,0,1,0
discard,CHB overrules SBL,<-4> [SBL](CHB),<-4>,[SBL](CHB),24,1,0,0,0,0,1,0
keep,SCB = calculated with a value below the mdl,<-4> [SCB],<-4>,[SCB],191,0,0,0,0,0,1,0
discard,CHB overrules SBL,<-4> [SCB] (CHB),<-4>,[SCB] (CHB),1,1,0,0,0,0,1,0
keep,5 = corrected,<5> (CSM),<5>,(CSM),676,0,0,0,0,0,0,0
discard,,<5> [GQS] (CSM),<5>,[GQS] (CSM),2,0,0,0,0,0,0,0
keep,,<5> [GSM] (CDR),<5>,[GSM] (CDR),6,0,0,0,0,0,0,0
keep,,<5> [SRD] (CSM),<5>,[SRD] (CSM),4,0,0,0,0,0,0,0
,"missing, presumably",NA,NA,NA,1595,0,0,0,0,0,0,0
